"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia AYABACA",,,,,,
"Viviendas particulares (001)",29322,28668,600,50,3,1
"Ocupantes presentes (002)",137605,131986,4967,592,44,16
"Casa independiente",,,,,,
"Viviendas particulares (004)",28727,28087,587,49,3,1
"Ocupantes presentes (005)",135027,129526,4864,577,44,16
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",2,2,,,,
"Ocupantes presentes (008)",4,4,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",25,25,,,,
"Ocupantes presentes (011)",76,76,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",28,28,,,,
"Ocupantes presentes (014)",79,79,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",518,504,13,1,,
"Ocupantes presentes (017)",2342,2224,103,15,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",2,2,,,,
"Ocupantes presentes (020)",10,10,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",17,17,,,,
"Ocupantes presentes (023)",59,59,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",3,3,,,,
"Ocupantes presentes (026)",8,8,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",3590,3433,142,13,1,1
"Ocupantes presentes (029)",15093,13813,1100,150,14,16
"Casa independiente",,,,,,
"Viviendas particulares (031)",3530,3373,142,13,1,1
"Ocupantes presentes (032)",14916,13636,1100,150,14,16
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",2,2,,,,
"Ocupantes presentes (035)",4,4,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",25,25,,,,
"Ocupantes presentes (038)",76,76,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",28,28,,,,
"Ocupantes presentes (041)",79,79,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",2,2,,,,
"Ocupantes presentes (047)",10,10,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",3,3,,,,
"Ocupantes presentes (053)",8,8,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",25732,25235,458,37,2,
"Ocupantes presentes (056)",122512,118173,3867,442,30,
"Casa independiente",,,,,,
"Viviendas particulares (058)",25197,24714,445,36,2,
"Ocupantes presentes (059)",120111,115890,3764,427,30,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",518,504,13,1,,
"Ocupantes presentes (071)",2342,2224,103,15,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",17,17,,,,
"Ocupantes presentes (077)",59,59,,,,
"Otro tipo",,,,,,
