"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHOTA (000)",117915,17687,7058,1550,91884
"Conviviente (001)",30750,2776,1380,299,26356
"Separado(a) (002)",3226,267,136,35,2795
"Casado(a) (003)",35095,2492,3329,709,28668
"Viudo(a) (004)",5086,273,202,43,4569
"Divorciado(a) (005)",287,19,27,10,231
"Soltero(a) (006)",43471,11860,1984,454,29265
"Hombres (008)",56472,7854,3736,1002,44097
"Conviviente (009)",14879,800,765,193,13172
"Separado(a) (010)",531,18,41,15,462
"Casado(a) (011)",17219,907,1816,493,14097
"Viudo(a) (012)",1193,43,49,15,1087
"Divorciado(a) (013)",76,3,8,7,58
"Soltero(a) (014)",22574,6083,1057,279,15221
"Mujeres (016)",61443,9833,3322,548,47787
"Conviviente (017)",15871,1976,615,106,13184
"Separado(a) (018)",2695,249,95,20,2333
"Casado(a) (019)",17876,1585,1513,216,14571
"Viudo(a) (020)",3893,230,153,28,3482
"Divorciado(a) (021)",211,16,19,3,173
"Soltero(a) (022)",20897,5777,927,175,14044
,,,,,
"URBANA (024)",25070,2557,4958,863,16746
"Conviviente (025)",5755,403,901,141,4316
"Separado(a) (026)",713,41,109,15,551
"Casado(a) (027)",8294,429,2400,409,5085
"Viudo(a) (028)",891,39,126,21,706
"Divorciado(a) (029)",89,4,25,9,51
"Soltero(a) (030)",9328,1641,1397,268,6037
"Hombres (032)",12111,1174,2392,532,8052
"Conviviente (033)",2796,137,439,87,2136
"Separado(a) (034)",153,8,29,8,110
"Casado(a) (035)",4189,180,1222,270,2541
"Viudo(a) (036)",196,8,25,9,155
"Divorciado(a) (037)",22,,6,6,10
"Soltero(a) (038)",4755,841,671,152,3100
"Mujeres (040)",12959,1383,2566,331,8694
"Conviviente (041)",2959,266,462,54,2180
"Separado(a) (042)",560,33,80,7,441
"Casado(a) (043)",4105,249,1178,139,2544
"Viudo(a) (044)",695,31,101,12,551
"Divorciado(a) (045)",67,4,19,3,41
"Soltero(a) (046)",4573,800,726,116,2937
,,,,,
"RURAL (048)",92845,15130,2100,687,75138
"Conviviente (049)",24995,2373,479,158,22040
"Separado(a) (050)",2513,226,27,20,2244
"Casado(a) (051)",26801,2063,929,300,23583
"Viudo(a) (052)",4195,234,76,22,3863
"Divorciado(a) (053)",198,15,2,1,180
"Soltero(a) (054)",34143,10219,587,186,23228
"Hombres (056)",44361,6680,1344,470,36045
"Conviviente (057)",12083,663,326,106,11036
"Separado(a) (058)",378,10,12,7,352
"Casado(a) (059)",13030,727,594,223,11556
"Viudo(a) (060)",997,35,24,6,932
"Divorciado(a) (061)",54,3,2,1,48
"Soltero(a) (062)",17819,5242,386,127,12121
"Mujeres (064)",48484,8450,756,217,39093
"Conviviente (065)",12912,1710,153,52,11004
"Separado(a) (066)",2135,216,15,13,1892
"Casado(a) (067)",13771,1336,335,77,12027
"Viudo(a) (068)",3198,199,52,16,2931
"Divorciado(a) (069)",144,12,,,132
"Soltero(a) (070)",16324,4977,201,59,11107
