"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia REQUENA (000)",22044,741,7459,7352,5049,1443
"Empleado (001)",2653,23,774,1231,599,26
"Obrero (002)",2738,124,1151,853,501,109
"Trabajador independiente (003)",10847,55,2942,3800,2968,1082
"Empleador o patrono (004)",396,2,108,140,110,36
"Trabajador familiar no remunerado (005)",3989,460,1709,967,705,148
"Trabajador del hogar (006)",590,22,320,150,78,20
"Desocupado (008)",831,55,455,211,88,22
"Hombres (009)",15473,504,5204,5100,3547,1118
"Empleado (010)",1624,14,436,744,408,22
"Obrero (011)",2272,99,970,707,405,91
"Trabajador independiente (012)",8551,39,2214,2977,2404,917
"Empleador o patrono (013)",323,1,81,116,92,33
"Trabajador familiar no remunerado (014)",2035,315,1148,379,159,34
"Trabajador del hogar (015)",62,4,31,15,10,2
"Desocupado (017)",606,32,324,162,69,19
"Mujeres (018)",6571,237,2255,2252,1502,325
"Empleado (019)",1029,9,338,487,191,4
"Obrero (020)",466,25,181,146,96,18
"Trabajador independiente (021)",2296,16,728,823,564,165
"Empleador o patrono (022)",73,1,27,24,18,3
"Trabajador familiar no remunerado (023)",1954,145,561,588,546,114
"Trabajador del hogar (024)",528,18,289,135,68,18
"Desocupado (026)",225,23,131,49,19,3
,,,,,,
"URBANA (027)",12525,385,4089,4362,2934,755
"Empleado (028)",2267,23,657,1036,528,23
"Obrero (029)",1773,72,713,572,340,76
"Trabajador independiente (030)",5645,54,1472,2029,1563,527
"Empleador o patrono (031)",233,2,52,86,70,23
"Trabajador familiar no remunerado (032)",1592,189,625,386,312,80
"Trabajador del hogar (033)",416,18,240,96,49,13
"Desocupado (035)",599,27,330,157,72,13
"Hombres (036)",8393,263,2712,2851,2005,562
"Empleado (037)",1365,14,362,613,357,19
"Obrero (038)",1510,62,622,479,283,64
"Trabajador independiente (039)",4060,38,1009,1419,1166,428
"Empleador o patrono (040)",175,1,33,67,54,20
"Trabajador familiar no remunerado (041)",812,127,438,146,82,19
"Trabajador del hogar (042)",39,3,17,10,8,1
"Desocupado (044)",432,18,231,117,55,11
"Mujeres (045)",4132,122,1377,1511,929,193
"Empleado (046)",902,9,295,423,171,4
"Obrero (047)",263,10,91,93,57,12
"Trabajador independiente (048)",1585,16,463,610,397,99
"Empleador o patrono (049)",58,1,19,19,16,3
"Trabajador familiar no remunerado (050)",780,62,187,240,230,61
"Trabajador del hogar (051)",377,15,223,86,41,12
"Desocupado (053)",167,9,99,40,17,2
,,,,,,
"RURAL (054)",9519,356,3370,2990,2115,688
"Empleado (055)",386,,117,195,71,3
"Obrero (056)",965,52,438,281,161,33
"Trabajador independiente (057)",5202,1,1470,1771,1405,555
"Empleador o patrono (058)",163,,56,54,40,13
"Trabajador familiar no remunerado (059)",2397,271,1084,581,393,68
"Trabajador del hogar (060)",174,4,80,54,29,7
"Desocupado (062)",232,28,125,54,16,9
"Hombres (063)",7080,241,2492,2249,1542,556
"Empleado (064)",259,,74,131,51,3
"Obrero (065)",762,37,348,228,122,27
"Trabajador independiente (066)",4491,1,1205,1558,1238,489
"Empleador o patrono (067)",148,,48,49,38,13
"Trabajador familiar no remunerado (068)",1223,188,710,233,77,15
"Trabajador del hogar (069)",23,1,14,5,2,1
"Desocupado (071)",174,14,93,45,14,8
"Mujeres (072)",2439,115,878,741,573,132
"Empleado (073)",127,,43,64,20,
"Obrero (074)",203,15,90,53,39,6
"Trabajador independiente (075)",711,,265,213,167,66
"Empleador o patrono (076)",15,,8,5,2,
"Trabajador familiar no remunerado (077)",1174,83,374,348,316,53
"Trabajador del hogar (078)",151,3,66,49,27,6
"Desocupado (080)",58,14,32,9,2,1
