"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CORONGO (000)",2510,1933,187,222,168
"Empleado (001)",445,112,36,170,127
"Obrero (002)",470,300,80,49,41
"Trabajador independiente (003)",1177,1126,51,,
"Empleador o patrono (004)",23,17,4,2,
"Trabajador familiar no remunerado (005)",353,336,16,1,
"Trabajador del hogar (006)",42,42,,,
"De 06 a 14 años (008)",23,22,1,,
"Obrero (010)",2,2,,,
"Trabajador independiente (011)",2,2,,,
"Trabajador familiar no remunerado (013)",18,17,1,,
"Trabajador del hogar (014)",1,1,,,
"De 15 a 29 años (016)",676,522,49,50,55
"Empleado (017)",96,30,5,27,34
"Obrero (018)",187,115,28,23,21
"Trabajador independiente (019)",214,201,13,,
"Empleador o patrono (020)",2,2,,,
"Trabajador familiar no remunerado (021)",159,156,3,,
"Trabajador del hogar (022)",18,18,,,
"De 30 a 44 años (024)",865,586,79,123,77
"Empleado (025)",241,52,20,107,62
"Obrero (026)",145,85,31,14,15
"Trabajador independiente (027)",385,368,17,,
"Empleador o patrono (028)",9,6,2,1,
"Trabajador familiar no remunerado (029)",73,63,9,1,
"Trabajador del hogar (030)",12,12,,,
"De 45 a 64 años (032)",701,569,50,49,33
"Empleado (033)",103,28,11,36,28
"Obrero (034)",118,82,19,12,5
"Trabajador independiente (035)",402,384,18,,
"Empleador o patrono (036)",7,6,,1,
"Trabajador familiar no remunerado (037)",61,59,2,,
"Trabajador del hogar (038)",10,10,,,
"De 65 y más años (040)",245,234,8,,3
"Empleado (041)",5,2,,,3
"Obrero (042)",18,16,2,,
"Trabajador independiente (043)",174,171,3,,
"Empleador o patrono (044)",5,3,2,,
"Trabajador familiar no remunerado (045)",42,41,1,,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",1389,972,143,147,127
"Empleado (049)",338,82,27,132,97
"Obrero (050)",285,178,64,13,30
"Trabajador independiente (051)",584,548,36,,
"Empleador o patrono (052)",15,12,2,1,
"Trabajador familiar no remunerado (053)",134,119,14,1,
"Trabajador del hogar (054)",33,33,,,
"De 06 a 14 años (056)",11,11,,,
"Obrero (058)",1,1,,,
"Trabajador independiente (059)",2,2,,,
"Trabajador familiar no remunerado (061)",7,7,,,
"Trabajador del hogar (062)",1,1,,,
