"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AYMARAES (000)",8055,110,289,721,1009,1578,2752,1596
"De 12 a 14 años (001)",14,,,,,,1,13
"De 15 a 19 años (002)",185,,,,,,114,71
"De 20 a 24 años (003)",605,,,,,3,400,202
"De 25 a 29 años (004)",791,,,,,30,612,149
"De 30 a 34 años (005)",837,,,,,115,590,132
"De 35 a 39 años (006)",758,,,,2,197,477,82
"De 40 a 44 años (007)",738,,,,18,281,365,74
"De 45 a 49 años (008)",625,,,4,52,341,158,70
"De 50 y más años (009)",3502,110,289,717,937,611,35,803
"PEA (010)",1974,7,38,130,217,467,736,379
"De 15 a 19 años (012)",35,,,,,,24,11
"De 20 a 24 años (013)",159,,,,,1,96,62
"De 25 a 29 años (014)",227,,,,,14,154,59
"De 30 a 34 años (015)",255,,,,,45,157,53
"De 35 a 39 años (016)",246,,,,1,63,148,34
"De 40 a 44 años (017)",244,,,,8,96,113,27
"De 45 a 49 años (018)",187,,,3,19,102,37,26
"De 50 y más años (019)",621,7,38,127,189,146,7,107
"Ocupada (020)",1931,7,38,127,217,455,723,364
"De 15 a 19 años (022)",32,,,,,,22,10
"De 20 a 24 años (023)",147,,,,,1,91,55
"De 25 a 29 años (024)",224,,,,,14,152,58
"De 30 a 34 años (025)",249,,,,,43,155,51
"De 35 a 39 años (026)",244,,,,1,63,148,32
"De 40 a 44 años (027)",239,,,,8,93,111,27
"De 45 a 49 años (028)",183,,,3,19,98,37,26
"De 50 y más años (029)",613,7,38,124,189,143,7,105
"Desocupada (030)",43,,,3,,12,13,15
"De 15 a 19 años (032)",3,,,,,,2,1
"De 20 a 24 años (033)",12,,,,,,5,7
"De 25 a 29 años (034)",3,,,,,,2,1
"De 30 a 34 años (035)",6,,,,,2,2,2
"De 35 a 39 años (036)",2,,,,,,,2
"De 40 a 44 años (037)",5,,,,,3,2,
"De 45 a 49 años (038)",4,,,,,4,,
"De 50 y más años (039)",8,,,3,,3,,2
"No PEA (040)",6081,103,251,591,792,1111,2016,1217
"De 12 a 14 años (041)",14,,,,,,1,13
"De 15 a 19 años (042)",150,,,,,,90,60
"De 20 a 24 años (043)",446,,,,,2,304,140
"De 25 a 29 años (044)",564,,,,,16,458,90
"De 30 a 34 años (045)",582,,,,,70,433,79
"De 35 a 39 años (046)",512,,,,1,134,329,48
"De 40 a 44 años (047)",494,,,,10,185,252,47
"De 45 a 49 años (048)",438,,,1,33,239,121,44
"De 50 y más años (049)",2881,103,251,590,748,465,28,696
,,,,,,,,
"URBANA (060)",3575,55,137,286,440,699,1232,726
