"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,8055,2330,850,769,748,1256,1031,1071,266
"Católica (001)",7413,7185,2077,772,690,666,1109,915,956,228
"Cristiana/Evangélica (002)",881,843,244,76,75,78,144,113,113,38
"Otra (003)",16,16,4,1,3,2,3,1,2,
"Ninguna (004)",11,11,5,1,1,2,,2,,
,,,,,,,,,,
"URBANA (006)",1093,1050,296,136,142,127,176,99,74,43
"Católica (007)",974,936,261,123,125,113,161,89,64,38
"Cristiana/Evangélica (008)",111,106,34,12,16,13,14,9,8,5
"Otra (009)",6,6,1,,,1,1,1,2,
"Ninguna (010)",2,2,,1,1,,,,,
,,,,,,,,,,
"RURAL (012)",7228,7005,2034,714,627,621,1080,932,997,223
"Católica (013)",6439,6249,1816,649,565,553,948,826,892,190
"Cristiana/Evangélica (014)",770,737,210,64,59,65,130,104,105,33
"Otra (015)",10,10,3,1,3,1,2,,,
"Ninguna (016)",9,9,5,,,2,,2,,
