"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CAÑETE",,,,,,,
"Viviendas particulares (001)",47175,4997,4323,1788,29102,4003,2962
"Ocupantes presentes (002)",198348,19280,16534,7837,126735,15994,11968
"Casa independiente",,,,,,,
"Viviendas particulares (004)",43288,4230,3603,1689,27779,3572,2415
"Ocupantes presentes (005)",184110,16528,14641,7423,121418,14362,9738
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",355,258,,7,77,10,3
"Ocupantes presentes (008)",1352,888,,32,357,47,28
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",419,240,,3,112,27,37
"Ocupantes presentes (011)",1677,857,,15,488,130,187
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",279,114,,7,108,26,24
"Ocupantes presentes (014)",1076,399,,36,436,105,100
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",733,28,231,7,300,114,53
"Ocupantes presentes (017)",2121,97,456,20,979,394,175
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1868,80,489,75,679,203,342
"Ocupantes presentes (020)",7262,360,1437,311,2891,831,1432
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",125,39,,,27,46,13
"Ocupantes presentes (023)",340,111,,,83,111,35
"Otro tipo",,,,,,,
"Viviendas particulares (025)",108,8,,,20,5,75
"Ocupantes presentes (026)",410,40,,,83,14,273
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",38924,4564,3629,1521,24527,2397,2286
"Ocupantes presentes (029)",166965,17665,14450,6683,108627,10070,9470
"Casa independiente",,,,,,,
"Viviendas particulares (031)",35839,3835,3140,1429,23518,2095,1822
"Ocupantes presentes (032)",155091,15059,13013,6289,104348,8874,7508
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",355,258,,7,77,10,3
"Ocupantes presentes (035)",1352,888,,32,357,47,28
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",419,240,,3,112,27,37
"Ocupantes presentes (038)",1677,857,,15,488,130,187
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",279,114,,7,108,26,24
"Ocupantes presentes (041)",1076,399,,36,436,105,100
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1868,80,489,75,679,203,342
"Ocupantes presentes (047)",7262,360,1437,311,2891,831,1432
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",102,36,,,25,34,7
"Ocupantes presentes (050)",273,98,,,74,78,23
"Otro tipo",,,,,,,
"Viviendas particulares (052)",62,1,,,8,2,51
"Ocupantes presentes (053)",234,4,,,33,5,192
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",8251,433,694,267,4575,1606,676
"Ocupantes presentes (056)",31383,1615,2084,1154,18108,5924,2498
"Casa independiente",,,,,,,
"Viviendas particulares (058)",7449,395,463,260,4261,1477,593
"Ocupantes presentes (059)",29019,1469,1628,1134,17070,5488,2230
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",733,28,231,7,300,114,53
"Ocupantes presentes (071)",2121,97,456,20,979,394,175
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",23,3,,,2,12,6
"Ocupantes presentes (077)",67,13,,,9,33,12
"Otro tipo",,,,,,,
"Viviendas particulares (079)",46,7,,,12,3,24
"Ocupantes presentes (080)",176,36,,,50,9,81
