"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTUMAZA (000)",9230,178,2569,3137,2529,817
"Empleado (001)",1594,6,315,805,443,25
"Obrero (002)",2088,29,746,669,518,126
"Trabajador independiente (003)",4138,41,851,1333,1336,577
"Empleador o patrono (004)",119,,22,38,42,17
"Trabajador familiar no remunerado (005)",1124,95,558,247,158,66
"Trabajador del hogar (006)",167,7,77,45,32,6
"Hombres (008)",7235,139,2059,2335,1987,715
"Empleado (009)",881,3,172,421,266,19
"Obrero (010)",1921,28,710,595,476,112
"Trabajador independiente (011)",3400,28,668,1089,1095,520
"Empleador o patrono (012)",106,,20,34,35,17
"Trabajador familiar no remunerado (013)",925,80,488,196,114,47
"Trabajador del hogar (014)",2,,1,,1,
"Mujeres (016)",1995,39,510,802,542,102
"Empleado (017)",713,3,143,384,177,6
"Obrero (018)",167,1,36,74,42,14
"Trabajador independiente (019)",738,13,183,244,241,57
"Empleador o patrono (020)",13,,2,4,7,
"Trabajador familiar no remunerado (021)",199,15,70,51,44,19
"Trabajador del hogar (022)",165,7,76,45,31,6
,,,,,,
"URBANA (024)",4464,39,1045,1698,1372,310
"Empleado (025)",1432,6,272,722,410,22
"Obrero (026)",984,11,318,330,271,54
"Trabajador independiente (027)",1632,7,303,535,589,198
"Empleador o patrono (028)",75,,13,21,31,10
"Trabajador familiar no remunerado (029)",214,9,83,53,47,22
"Trabajador del hogar (030)",127,6,56,37,24,4
"Hombres (032)",2983,27,725,1047,935,249
"Empleado (033)",784,3,152,371,242,16
"Obrero (034)",868,11,297,270,243,47
"Trabajador independiente (035)",1135,6,212,355,400,162
"Empleador o patrono (036)",64,,11,19,24,10
"Trabajador familiar no remunerado (037)",131,7,52,32,26,14
"Trabajador del hogar (038)",1,,1,,,
"Mujeres (040)",1481,12,320,651,437,61
"Empleado (041)",648,3,120,351,168,6
"Obrero (042)",116,,21,60,28,7
"Trabajador independiente (043)",497,1,91,180,189,36
"Empleador o patrono (044)",11,,2,2,7,
"Trabajador familiar no remunerado (045)",83,2,31,21,21,8
"Trabajador del hogar (046)",126,6,55,37,24,4
,,,,,,
"RURAL (048)",4766,139,1524,1439,1157,507
"Empleado (049)",162,,43,83,33,3
"Obrero (050)",1104,18,428,339,247,72
"Trabajador independiente (051)",2506,34,548,798,747,379
"Empleador o patrono (052)",44,,9,17,11,7
"Trabajador familiar no remunerado (053)",910,86,475,194,111,44
"Trabajador del hogar (054)",40,1,21,8,8,2
"Hombres (056)",4252,112,1334,1288,1052,466
"Empleado (057)",97,,20,50,24,3
"Obrero (058)",1053,17,413,325,233,65
"Trabajador independiente (059)",2265,22,456,734,695,358
"Empleador o patrono (060)",42,,9,15,11,7
"Trabajador familiar no remunerado (061)",794,73,436,164,88,33
"Trabajador del hogar (062)",1,,,,1,
"Mujeres (064)",514,27,190,151,105,41
"Empleado (065)",65,,23,33,9,
"Obrero (066)",51,1,15,14,14,7
"Trabajador independiente (067)",241,12,92,64,52,21
"Empleador o patrono (068)",2,,,2,,
"Trabajador familiar no remunerado (069)",116,13,39,30,23,11
"Trabajador del hogar (070)",39,1,21,8,7,2
