"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia GRAU (000)",25090,531,9223,4926,4183,3753,2474
"Hombres (001)",12760,263,4794,2551,2120,1883,1149
"Mujeres (002)",12330,268,4429,2375,2063,1870,1325
"Viviendas particulares (003)",24865,527,9188,4838,4106,3736,2470
"Hombres (004)",12601,260,4774,2489,2060,1871,1147
"Mujeres (005)",12264,267,4414,2349,2046,1865,1323
"Viviendas colectivas (006)",206,4,30,84,74,11,3
"Hombres (007)",146,3,15,60,58,9,1
"Mujeres (008)",60,1,15,24,16,2,2
"Otro tipo (009)",19,,5,4,3,6,1
"Hombres (010)",13,,5,2,2,3,1
"Mujeres (011)",6,,,2,1,3,
,,,,,,,
"URBANA (012)",9980,201,3545,2292,1767,1361,814
"Hombres (013)",4951,101,1780,1160,879,683,348
"Mujeres (014)",5029,100,1765,1132,888,678,466
"Viviendas particulares (015)",9850,198,3510,2244,1736,1351,811
"Hombres (016)",4871,98,1760,1131,857,678,347
"Mujeres (017)",4979,100,1750,1113,879,673,464
"Viviendas colectivas (018)",115,3,30,45,30,4,3
"Hombres (019)",71,3,15,28,22,2,1
"Mujeres (020)",44,,15,17,8,2,2
"Otro tipo (021)",15,,5,3,1,6,
"Hombres (022)",9,,5,1,,3,
"Mujeres (023)",6,,,2,1,3,
,,,,,,,
"RURAL (024)",15110,330,5678,2634,2416,2392,1660
"Hombres (025)",7809,162,3014,1391,1241,1200,801
"Mujeres (026)",7301,168,2664,1243,1175,1192,859
"Viviendas particulares (027)",15015,329,5678,2594,2370,2385,1659
"Hombres (028)",7730,162,3014,1358,1203,1193,800
"Mujeres (029)",7285,167,2664,1236,1167,1192,859
"Viviendas colectivas (030)",91,1,,39,44,7,
"Hombres (031)",75,,,32,36,7,
"Mujeres (032)",16,1,,7,8,,
"Otro tipo (033)",4,,,1,2,,1
"Hombres (034)",4,,,1,2,,1
