"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUAROCHIRI (000)",29911,4194,7973,7177,10567
"Asiste actualmente (001)",19953,2660,7634,6444,3215
"No asiste (002)",9958,1534,339,733,7352
"Hombres (004)",15456,2064,4089,3637,5666
"Asiste actualmente (005)",10185,1297,3917,3265,1706
"No asiste (006)",5271,767,172,372,3960
"Mujeres (008)",14455,2130,3884,3540,4901
"Asiste actualmente (009)",9768,1363,3717,3179,1509
"No asiste (010)",4687,767,167,361,3392
,,,,,
"URBANA (012)",20484,2822,5440,5093,7129
"Asiste actualmente (013)",14392,1886,5239,4719,2548
"No asiste (014)",6092,936,201,374,4581
"Hombres (016)",10428,1410,2796,2557,3665
"Asiste actualmente (017)",7321,930,2696,2362,1333
"No asiste (018)",3107,480,100,195,2332
"Mujeres (020)",10056,1412,2644,2536,3464
"Asiste actualmente (021)",7071,956,2543,2357,1215
"No asiste (022)",2985,456,101,179,2249
,,,,,
"RURAL (024)",9427,1372,2533,2084,3438
"Asiste actualmente (025)",5561,774,2395,1725,667
"No asiste (026)",3866,598,138,359,2771
"Hombres (028)",5028,654,1293,1080,2001
"Asiste actualmente (029)",2864,367,1221,903,373
"No asiste (030)",2164,287,72,177,1628
"Mujeres (032)",4399,718,1240,1004,1437
"Asiste actualmente (033)",2697,407,1174,822,294
"No asiste (034)",1702,311,66,182,1143
