"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAJAMARCA (000)",70382,308406,37801,170083,32581,138323
"Casa independiente (001)",63400,281514,31962,147912,31438,133602
"Departamento en edificio (002)",1639,6113,1639,6113,,
"Vivienda en quinta (003)",2852,10650,2852,10650,,
"Vivienda en casa de vecindad (004)",1125,4607,1125,4607,,
"Choza o cabaña (005)",1128,4683,,,1128,4683
"Vivienda improvisada (006)",72,314,72,314,,
"Local no dest.para hab. humana (007)",99,321,85,285,14,36
"Otro tipo (008)",67,204,66,202,1,2
