"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia NAZCA (000)",27394,13562,910,328,11284,443,21,39,31,776
"Hombres (001)",10211,6787,601,146,2001,204,11,18,31,412
"Mujeres (002)",17183,6775,309,182,9283,239,10,21,,364
"De 06 a 14 años (003)",10186,9538,,,369,112,,7,,160
"Hombres (004)",5234,4903,,,189,57,,2,,83
"Mujeres (005)",4952,4635,,,180,55,,5,,77
"De 15 a 29 años (006)",7710,3879,12,97,3426,,4,9,31,252
"Hombres (007)",2695,1830,8,41,649,,2,3,31,131
"Mujeres (008)",5015,2049,4,56,2777,,2,6,,121
"De 30 a 44 años (009)",3703,116,26,71,3335,,11,7,,137
"Hombres (010)",577,43,11,30,415,,6,4,,68
"Mujeres (011)",3126,73,15,41,2920,,5,3,,69
"De 45 a 64 años (012)",3194,23,179,78,2784,4,6,3,,117
"Hombres (013)",588,8,83,37,382,2,3,3,,70
"Mujeres (014)",2606,15,96,41,2402,2,3,,,47
"De 65 y más años (015)",2601,6,693,82,1370,327,,13,,110
"Hombres (016)",1117,3,499,38,366,145,,6,,60
"Mujeres (017)",1484,3,194,44,1004,182,,7,,50
,,,,,,,,,,
"AREA URBANA (018)",23950,12075,772,293,9652,364,16,37,31,710
"Hombres (019)",8888,5984,505,130,1675,167,7,16,31,373
"Mujeres (020)",15062,6091,267,163,7977,197,9,21,,337
"De 06 a 14 años (021)",9045,8498,,,299,101,,7,,140
"Hombres (022)",4611,4338,,,145,54,,2,,72
"Mujeres (023)",4434,4160,,,154,47,,5,,68
"De 15 a 29 años (024)",6741,3454,12,93,2897,,2,9,31,243
"Hombres (025)",2346,1605,8,40,534,,,3,31,125
"Mujeres (026)",4395,1849,4,53,2363,,2,6,,118
"De 30 a 44 años (027)",3244,98,23,62,2915,,10,7,,129
"Hombres (028)",501,32,10,27,358,,5,4,,65
"Mujeres (029)",2743,66,13,35,2557,,5,3,,64
"De 45 a 64 años (030)",2742,19,165,68,2375,3,4,2,,106
"Hombres (031)",498,6,75,30,321,1,2,2,,61
"Mujeres (032)",2244,13,90,38,2054,2,2,,,45
"De 65 y más años (033)",2178,6,572,70,1166,260,,12,,92
"Hombres (034)",932,3,412,33,317,112,,5,,50
"Mujeres (035)",1246,3,160,37,849,148,,7,,42
,,,,,,,,,,
"AREA RURAL (036)",3444,1487,138,35,1632,79,5,2,,66
"Hombres (037)",1323,803,96,16,326,37,4,2,,39
"Mujeres (038)",2121,684,42,19,1306,42,1,,,27
"De 06 a 14 años (039)",1141,1040,,,70,11,,,,20
"Hombres (040)",623,565,,,44,3,,,,11
"Mujeres (041)",518,475,,,26,8,,,,9
"De 15 a 29 años (042)",969,425,,4,529,,2,,,9
"Hombres (043)",349,225,,1,115,,2,,,6
"Mujeres (044)",620,200,,3,414,,,,,3
"De 30 a 44 años (045)",459,18,3,9,420,,1,,,8
"Hombres (046)",76,11,1,3,57,,1,,,3
"Mujeres (047)",383,7,2,6,363,,,,,5
"De 45 a 64 años (048)",452,4,14,10,409,1,2,1,,11
"Hombres (049)",90,2,8,7,61,1,1,1,,9
"Mujeres (050)",362,2,6,3,348,,1,,,2
"De 65 y más años (051)",423,,121,12,204,67,,1,,18
"Hombres (052)",185,,87,5,49,33,,1,,10
"Mujeres (053)",238,,34,7,155,34,,,,8
