"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAJATAMBO (000)",8145,132,2711,1515,1458,1333,996
"Jefe o Jefa (001)",2510,,6,277,728,821,678
"Esposa(o) / compañera(o) (002)",1268,,2,217,477,372,200
"Hijo(a) / hijastro(a) (003)",3323,95,2218,795,152,61,2
"Yerno / nuera (004)",68,,2,41,19,6,
"Nieto(a) (005)",442,28,345,64,5,,
"Padres / suegros (006)",90,,,,2,12,76
"Otro(a) pariente (007)",317,8,123,75,31,43,37
"Trabajador(a) del hogar (008)",5,,,4,1,,
"Pensionistas (009)",17,,1,3,9,4,
"Otro(a) no pariente (010)",105,1,14,39,34,14,3
"Hombres (011)",4101,77,1364,785,716,677,482
"Jefe o Jefa (012)",1742,,5,199,550,570,418
"Esposa(o) / compañera(o) (013)",68,,1,11,24,20,12
"Hijo(a) / hijastro(a) (014)",1734,57,1103,452,83,38,1
"Yerno / nuera (015)",26,,,12,10,4,
"Nieto(a) (016)",241,16,184,38,3,,
"Padres / suegros (017)",36,,,,1,4,31
"Otro(a) pariente (018)",177,4,62,47,22,25,17
"Trabajador(a) del hogar (019)",1,,,1,,,
"Pensionistas (020)",7,,,1,2,4,
"Otro(a) no pariente (021)",69,,9,24,21,12,3
"Mujeres (022)",4044,55,1347,730,742,656,514
"Jefe o Jefa (023)",768,,1,78,178,251,260
"Esposa(o) / compañera(o) (024)",1200,,1,206,453,352,188
"Hijo(a) / hijastro(a) (025)",1589,38,1115,343,69,23,1
"Yerno / nuera (026)",42,,2,29,9,2,
"Nieto(a) (027)",201,12,161,26,2,,
"Padres / suegros (028)",54,,,,1,8,45
"Otro(a) pariente (029)",140,4,61,28,9,18,20
"Trabajador(a) del hogar (030)",4,,,3,1,,
"Pensionistas (031)",10,,1,2,7,,
"Otro(a) no pariente (032)",36,1,5,15,13,2,
,,,,,,,
"URBANA (033)",4977,77,1622,925,899,822,632
"Jefe o Jefa (034)",1517,,3,149,438,512,415
"Esposa(o) / compañera(o) (035)",776,,1,118,294,227,136
"Hijo(a) / hijastro(a) (036)",2032,62,1325,510,98,35,2
"Yerno / nuera (037)",51,,1,30,16,4,
"Nieto(a) (038)",276,14,220,40,2,,
"Padres / suegros (039)",62,,,,2,6,54
"Otro(a) pariente (040)",180,,67,46,17,26,24
"Trabajador(a) del hogar (041)",2,,,2,,,
"Pensionistas (042)",7,,1,1,4,1,
"Otro(a) no pariente (043)",74,1,4,29,28,11,1
"Hombres (044)",2465,48,817,489,431,394,286
"Jefe o Jefa (045)",1008,,2,110,322,333,241
"Esposa(o) / compañera(o) (046)",51,,1,8,18,12,12
"Hijo(a) / hijastro(a) (047)",1067,40,663,294,50,19,1
"Yerno / nuera (048)",18,,,6,9,3,
"Nieto(a) (049)",146,8,115,21,2,,
"Padres / suegros (050)",24,,,,1,2,21
"Otro(a) pariente (051)",100,,33,31,11,15,10
"Pensionistas (053)",2,,,1,,1,
"Otro(a) no pariente (054)",49,,3,18,18,9,1
"Mujeres (055)",2512,29,805,436,468,428,346
"Jefe o Jefa (056)",509,,1,39,116,179,174
"Esposa(o) / compañera(o) (057)",725,,,110,276,215,124
"Hijo(a) / hijastro(a) (058)",965,22,662,216,48,16,1
"Yerno / nuera (059)",33,,1,24,7,1,
"Nieto(a) (060)",130,6,105,19,,,
"Padres / suegros (061)",38,,,,1,4,33
"Otro(a) pariente (062)",80,,34,15,6,11,14
"Trabajador(a) del hogar (063)",2,,,2,,,
"Pensionistas (064)",5,,1,,4,,
"Otro(a) no pariente (065)",25,1,1,11,10,2,
,,,,,,,
"RURAL (066)",3168,55,1089,590,559,511,364
"Jefe o Jefa (067)",993,,3,128,290,309,263
"Esposa(o) / compañera(o) (068)",492,,1,99,183,145,64
"Hijo(a) / hijastro(a) (069)",1291,33,893,285,54,26,
"Yerno / nuera (070)",17,,1,11,3,2,
"Nieto(a) (071)",166,14,125,24,3,,
"Padres / suegros (072)",28,,,,,6,22
"Otro(a) pariente (073)",137,8,56,29,14,17,13
"Trabajador(a) del hogar (074)",3,,,2,1,,
"Pensionistas (075)",10,,,2,5,3,
"Otro(a) no pariente (076)",31,,10,10,6,3,2
"Hombres (077)",1636,29,547,296,285,283,196
"Jefe o Jefa (078)",734,,3,89,228,237,177
"Esposa(o) / compañera(o) (079)",17,,,3,6,8,
"Hijo(a) / hijastro(a) (080)",667,17,440,158,33,19,
"Yerno / nuera (081)",8,,,6,1,1,
"Nieto(a) (082)",95,8,69,17,1,,
"Padres / suegros (083)",12,,,,,2,10
"Otro(a) pariente (084)",77,4,29,16,11,10,7
"Trabajador(a) del hogar (085)",1,,,1,,,
"Pensionistas (086)",5,,,,2,3,
"Otro(a) no pariente (087)",20,,6,6,3,3,2
"Mujeres (088)",1532,26,542,294,274,228,168
"Jefe o Jefa (089)",259,,,39,62,72,86
"Esposa(o) / compañera(o) (090)",475,,1,96,177,137,64
"Hijo(a) / hijastro(a) (091)",624,16,453,127,21,7,
"Yerno / nuera (092)",9,,1,5,2,1,
"Nieto(a) (093)",71,6,56,7,2,,
"Padres / suegros (094)",16,,,,,4,12
"Otro(a) pariente (095)",60,4,27,13,3,7,6
"Trabajador(a) del hogar (096)",2,,,1,1,,
"Pensionistas (097)",5,,,2,3,,
"Otro(a) no pariente (098)",11,,4,4,3,,
