"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SIHUAS (000)",7658,92,2756,2730,824,273,129,63,5,,786
"Sin Nivel (001)",3562,45,1243,1344,370,142,65,42,3,,308
"Educación Inicial (002)",19,,7,6,1,,,,,,5
"Primaria (003)",2280,42,925,762,211,71,32,11,2,,224
"Secundaria (004)",952,3,408,315,79,18,6,1,,,122
"Sup. no Univ. Incompleta (005)",139,1,51,41,16,4,1,,,,25
"Sup. no Univ. Completa (006)",319,,45,124,72,16,10,5,,,47
"Sup. Univ. Incompleta (007)",128,1,44,51,8,2,1,1,,,20
"Sup. Univ. Completa (008)",259,,33,87,67,20,14,3,,,35
,,,,,,,,,,,
"URBANA (010)",2066,20,667,713,278,105,54,24,1,,204
"Sin Nivel (011)",469,10,174,157,47,24,11,9,1,,36
"Educación Inicial (012)",5,,3,1,,,,,,,1
"Primaria (013)",519,9,188,172,55,30,15,6,,,44
"Secundaria (014)",413,1,171,135,45,13,4,1,,,43
"Sup. no Univ. Incompleta (015)",88,,34,27,13,2,1,,,,11
"Sup. no Univ. Completa (016)",262,,40,106,57,16,10,4,,,29
"Sup. Univ. Incompleta (017)",92,,28,39,7,2,1,1,,,14
"Sup. Univ. Completa (018)",218,,29,76,54,18,12,3,,,26
,,,,,,,,,,,
"RURAL (020)",5592,72,2089,2017,546,168,75,39,4,,582
"Sin Nivel (021)",3093,35,1069,1187,323,118,54,33,2,,272
"Educación Inicial (022)",14,,4,5,1,,,,,,4
"Primaria (023)",1761,33,737,590,156,41,17,5,2,,180
"Secundaria (024)",539,2,237,180,34,5,2,,,,79
"Sup. no Univ. Incompleta (025)",51,1,17,14,3,2,,,,,14
"Sup. no Univ. Completa (026)",57,,5,18,15,,,1,,,18
"Sup. Univ. Incompleta (027)",36,1,16,12,1,,,,,,6
"Sup. Univ. Completa (028)",41,,4,11,13,2,2,,,,9
