"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",51670,10563,15183,12729,9521,3674
"Hombres (001)",26489,5491,7724,6425,4926,1923
"Mujeres (002)",25181,5072,7459,6304,4595,1751
"PEA (003)",24276,377,7473,9026,6327,1073
"Hombres (004)",16278,257,5029,5848,4338,806
"Mujeres (005)",7998,120,2444,3178,1989,267
"Ocupada (006)",23355,362,6994,8772,6189,1038
"Hombres (007)",15689,249,4724,5701,4235,780
"Mujeres (008)",7666,113,2270,3071,1954,258
"Desocupada (009)",921,15,479,254,138,35
"Hombres (010)",589,8,305,147,103,26
"Mujeres (011)",332,7,174,107,35,9
"No PEA (012)",27394,10186,7710,3703,3194,2601
"Hombres (013)",10211,5234,2695,577,588,1117
"Mujeres (014)",17183,4952,5015,3126,2606,1484
,,,,,,
"URBANA (018)",45333,9384,13336,11333,8257,3023
"Hombres (019)",22997,4841,6704,5676,4220,1556
"Mujeres (020)",22336,4543,6632,5657,4037,1467
"PEA (021)",21383,339,6595,8089,5515,845
"Hombres (022)",14109,230,4358,5175,3722,624
"Mujeres (023)",7274,109,2237,2914,1793,221
"Ocupada (024)",20586,326,6184,7862,5392,822
"Hombres (025)",13615,222,4103,5048,3634,608
"Mujeres (026)",6971,104,2081,2814,1758,214
"Desocupada (027)",797,13,411,227,123,23
"Hombres (028)",494,8,255,127,88,16
"Mujeres (029)",303,5,156,100,35,7
"No PEA (030)",23950,9045,6741,3244,2742,2178
"Hombres (031)",8888,4611,2346,501,498,932
"Mujeres (032)",15062,4434,4395,2743,2244,1246
,,,,,,
"RURAL (036)",6337,1179,1847,1396,1264,651
"Hombres (037)",3492,650,1020,749,706,367
"Mujeres (038)",2845,529,827,647,558,284
"PEA (039)",2893,38,878,937,812,228
"Hombres (040)",2169,27,671,673,616,182
"Mujeres (041)",724,11,207,264,196,46
"Ocupada (042)",2769,36,810,910,797,216
"Hombres (043)",2074,27,621,653,601,172
"Mujeres (044)",695,9,189,257,196,44
"Desocupada (045)",124,2,68,27,15,12
"Hombres (046)",95,,50,20,15,10
"Mujeres (047)",29,2,18,7,,2
"No PEA (048)",3444,1141,969,459,452,423
"Hombres (049)",1323,623,349,76,90,185
"Mujeres (050)",2121,518,620,383,362,238
