"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,,,,
"Hogares (001)",10087,7,1241,64,111,8500,5,3,156
"Ocupantes presentes (002)",52872,31,5606,267,586,45987,42,24,329
"Casa independiente",,,,,,,,,
"Hogares (004)",6056,6,1050,56,89,4764,4,2,85
"Ocupantes presentes (005)",32623,27,4851,241,484,26807,33,17,163
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2,,,,,,,,2
"Ocupantes presentes (008)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",121,1,71,1,,,,,48
"Ocupantes presentes (011)",386,4,266,4,,,,,112
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",8,,2,1,,3,,,2
"Ocupantes presentes (014)",30,,11,4,,11,,,4
"Choza o cabaña",,,,,,,,,
"Hogares (016)",3867,,112,6,21,3709,1,1,17
"Ocupantes presentes (017)",19681,,452,18,101,19053,9,7,41
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",22,,5,,1,16,,,
"Ocupantes presentes (020)",91,,19,,1,71,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,,1,,,5,,,2
"Ocupantes presentes (023)",47,,7,,,38,,,2
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,3,,,
"Ocupantes presentes (026)",7,,,,,7,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2908,6,882,41,45,1810,2,2,120
"Ocupantes presentes (029)",15007,28,3950,174,236,10335,18,17,249
"Casa independiente",,,,,,,,,
"Hogares (031)",2747,5,803,39,44,1786,2,2,66
"Ocupantes presentes (032)",14466,24,3647,166,235,10235,18,17,124
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2,,,,,,,,2
"Ocupantes presentes (035)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",121,1,71,1,,,,,48
"Ocupantes presentes (038)",386,4,266,4,,,,,112
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",8,,2,1,,3,,,2
"Ocupantes presentes (041)",30,,11,4,,11,,,4
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",22,,5,,1,16,,,
"Ocupantes presentes (047)",91,,19,,1,71,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,1,,,3,,,2
"Ocupantes presentes (050)",22,,7,,,13,,,2
"Otro tipo",,,,,,,,,
"Hogares (052)",2,,,,,2,,,
"Ocupantes presentes (053)",5,,,,,5,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7179,1,359,23,66,6690,3,1,36
"Ocupantes presentes (056)",37865,3,1656,93,350,35652,24,7,80
"Casa independiente",,,,,,,,,
"Hogares (058)",3309,1,247,17,45,2978,2,,19
"Ocupantes presentes (059)",18157,3,1204,75,249,16572,15,,39
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",3867,,112,6,21,3709,1,1,17
"Ocupantes presentes (071)",19681,,452,18,101,19053,9,7,41
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,2,,,
"Ocupantes presentes (077)",25,,,,,25,,,
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,1,,,
"Ocupantes presentes (080)",2,,,,,2,,,
