"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MAYNAS (000)",168136,3301,136,44262,73695,9220,12803,7970,16749
"Empleado (001)",46630,132,12,2615,14485,4036,8168,4383,12799
"Obrero (002)",22775,295,12,6496,13486,894,812,442,338
"Trabajador independiente (003)",74633,1781,54,24314,36152,3626,3240,2604,2862
"Empleador o patrono (004)",3043,38,1,503,1260,192,263,275,511
"Trabajador familiar no remunerado (005)",14744,907,46,8060,4846,270,219,209,187
"Trabajador del hogar (006)",6311,148,11,2274,3466,202,101,57,52
"Hombres (008)",108369,1541,84,27890,50528,6064,7275,5325,9662
"Empleado (009)",26678,61,7,1535,9225,2353,4032,2661,6804
"Obrero (010)",20655,234,10,5640,12480,823,756,403,309
"Trabajador independiente (011)",51774,1021,40,16835,25076,2605,2198,1944,2055
"Empleador o patrono (012)",2195,23,1,362,903,133,178,200,395
"Trabajador familiar no remunerado (013)",6609,197,26,3377,2589,129,99,104,88
"Trabajador del hogar (014)",458,5,,141,255,21,12,13,11
"Mujeres (016)",59767,1760,52,16372,23167,3156,5528,2645,7087
"Empleado (017)",19952,71,5,1080,5260,1683,4136,1722,5995
"Obrero (018)",2120,61,2,856,1006,71,56,39,29
"Trabajador independiente (019)",22859,760,14,7479,11076,1021,1042,660,807
"Empleador o patrono (020)",848,15,,141,357,59,85,75,116
"Trabajador familiar no remunerado (021)",8135,710,20,4683,2257,141,120,105,99
"Trabajador del hogar (022)",5853,143,11,2133,3211,181,89,44,41
,,,,,,,,,
"URBANA (024)",134536,1263,100,24463,63670,8849,12312,7751,16128
"Empleado (025)",44913,127,12,2454,14120,3891,7819,4245,12245
"Obrero (026)",19059,148,10,4541,11981,847,779,418,335
"Trabajador independiente (027)",56091,726,43,13004,30312,3483,3158,2557,2808
"Empleador o patrono (028)",2739,12,1,347,1150,189,262,271,507
"Trabajador familiar no remunerado (029)",5640,115,23,1963,2722,239,194,203,181
"Trabajador del hogar (030)",6094,135,11,2154,3385,200,100,57,52
"Hombres (032)",83535,534,62,13668,42138,5766,6939,5149,9279
"Empleado (033)",25508,59,7,1410,8927,2253,3814,2561,6477
"Obrero (034)",17374,118,8,3967,11095,777,724,379,306
"Trabajador independiente (035)",35831,307,30,7092,19884,2481,2128,1900,2009
"Empleador o patrono (036)",1923,7,1,221,798,131,177,197,391
"Trabajador familiar no remunerado (037)",2492,39,16,861,1204,103,85,99,85
"Trabajador del hogar (038)",407,4,,117,230,21,11,13,11
"Mujeres (040)",51001,729,38,10795,21532,3083,5373,2602,6849
"Empleado (041)",19405,68,5,1044,5193,1638,4005,1684,5768
"Obrero (042)",1685,30,2,574,886,70,55,39,29
"Trabajador independiente (043)",20260,419,13,5912,10428,1002,1030,657,799
"Empleador o patrono (044)",816,5,,126,352,58,85,74,116
"Trabajador familiar no remunerado (045)",3148,76,7,1102,1518,136,109,104,96
"Trabajador del hogar (046)",5687,131,11,2037,3155,179,89,44,41
,,,,,,,,,
"RURAL (048)",33600,2038,36,19799,10025,371,491,219,621
"Empleado (049)",1717,5,,161,365,145,349,138,554
"Obrero (050)",3716,147,2,1955,1505,47,33,24,3
"Trabajador independiente (051)",18542,1055,11,11310,5840,143,82,47,54
"Empleador o patrono (052)",304,26,,156,110,3,1,4,4
"Trabajador familiar no remunerado (053)",9104,792,23,6097,2124,31,25,6,6
"Trabajador del hogar (054)",217,13,,120,81,2,1,,
"Hombres (056)",24834,1007,22,14222,8390,298,336,176,383
"Empleado (057)",1170,2,,125,298,100,218,100,327
"Obrero (058)",3281,116,2,1673,1385,46,32,24,3
"Trabajador independiente (059)",15943,714,10,9743,5192,124,70,44,46
"Empleador o patrono (060)",272,16,,141,105,2,1,3,4
"Trabajador familiar no remunerado (061)",4117,158,10,2516,1385,26,14,5,3
"Trabajador del hogar (062)",51,1,,24,25,,1,,
"Mujeres (064)",8766,1031,14,5577,1635,73,155,43,238
"Empleado (065)",547,3,,36,67,45,131,38,227
"Obrero (066)",435,31,,282,120,1,1,,
"Trabajador independiente (067)",2599,341,1,1567,648,19,12,3,8
"Empleador o patrono (068)",32,10,,15,5,1,,1,
"Trabajador familiar no remunerado (069)",4987,634,13,3581,739,5,11,1,3
"Trabajador del hogar (070)",166,12,,96,56,2,,,
