"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YUNGUYO (000)",18617,51105,45251,,659,88.5,1.3
"De 12 a 14 años (001)",1673,4,4,,,100,
"De 15 a 19 años (002)",2264,201,198,64,98.5,31.8,
"De 20 a 24 años (003)",1720,1115,1087,165,97.5,14.8,
"De 25 a 29 años (004)",1687,2351,2255,164,95.9,7,
"De 30 a 34 años (005)",1588,3813,3651,133,95.8,3.5,
"De 35 a 39 años (006)",1581,4830,4577,88,94.8,1.8,
"De 40 a 44 años (007)",1279,4895,4569,41,93.3,0.8,
"De 45 a 49 años (008)",1193,5313,4847,4,91.2,0.1,
"De 50 y más años (009)",5632,28583,24063,,84.2,,
"PEA (010)",8485,27208,24162,309,88.8,1.1,
"De 12 a 14 años (011)",81,,,,,,
"De 15 a 19 años (012)",488,84,82,26,97.6,31,
"De 20 a 24 años (013)",875,581,565,72,97.2,12.4,
"De 25 a 29 años (014)",968,1244,1188,81,95.5,6.5,
"De 30 a 34 años (015)",917,2129,2025,71,95.1,3.3,
"De 35 a 39 años (016)",907,2757,2625,35,95.2,1.3,
"De 40 a 44 años (017)",749,2794,2601,21,93.1,0.8,
"De 45 a 49 años (018)",672,2951,2676,3,90.7,0.1,
"De 50 y más años (019)",2828,14668,12400,,84.5,,
"Ocupada (020)",8135,26850,23843,302,88.8,1.1,
"De 12 a 14 años (021)",74,,,,,,
"De 15 a 19 años (022)",412,79,77,25,97.5,31.6,
"De 20 a 24 años (023)",790,561,545,72,97.1,12.8,
"De 25 a 29 años (024)",903,1209,1154,78,95.5,6.5,
"De 30 a 34 años (025)",877,2088,1987,70,95.2,3.4,
"De 35 a 39 años (026)",877,2678,2555,34,95.4,1.3,
"De 40 a 44 años (027)",731,2757,2569,20,93.2,0.7,
"De 45 a 49 años (028)",664,2910,2640,3,90.7,0.1,
"De 50 y más años (029)",2807,14568,12316,,84.5,,
"Desocupada (030)",350,358,319,7,89.1,2,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",76,5,5,1,100,20,
"De 20 a 24 años (033)",85,20,20,,100,,
"De 25 a 29 años (034)",65,35,34,3,97.1,8.6,
"De 30 a 34 años (035)",40,41,38,1,92.7,2.4,
"De 35 a 39 años (036)",30,79,70,1,88.6,1.3,
