"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia EL DORADO (000)",30962,12163,2270,686,15924
"Quechua (001)",537,190,91,19,237
"Aymara (002)",5,3,,,2
"Asháninka (003)",1,,,1,
"Otra lengua nativa (004)",3,,1,,2
"Castellano (005)",30355,11939,2177,664,15656
"Idioma Extranjero (006)",4,,,,4
"Es Sordomudo/a (007)",57,31,1,2,23
"Hombres (009)",16598,6103,1193,365,8985
"Quechua (010)",251,85,50,10,106
"Aymara (011)",3,3,,,
"Otra lengua nativa (013)",2,,1,,1
"Castellano (014)",16312,5999,1142,354,8865
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",28,16,,1,11
"Mujeres (018)",14364,6060,1077,321,6939
"Quechua (019)",286,105,41,9,131
"Aymara (020)",2,,,,2
"Asháninka (021)",1,,,1,
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",14043,5940,1035,310,6791
"Idioma Extranjero (024)",2,,,,2
"Es Sordomudo/a (025)",29,15,1,1,12
,,,,,
"URBANA (027)",12200,4635,1500,333,5797
"Quechua (028)",168,75,6,7,80
"Aymara (029)",2,1,,,1
"Otra lengua nativa (031)",3,,1,,2
"Castellano (032)",12002,4547,1493,324,5703
"Idioma Extranjero (033)",4,,,,4
"Es Sordomudo/a (034)",21,12,,2,7
"Hombres (036)",6339,2274,785,184,3132
"Quechua (037)",68,30,4,4,30
"Aymara (038)",1,1,,,
"Otra lengua nativa (040)",2,,1,,1
"Castellano (041)",6258,2238,780,179,3097
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",8,5,,1,2
"Mujeres (045)",5861,2361,715,149,2665
"Quechua (046)",100,45,2,3,50
"Aymara (047)",1,,,,1
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",5744,2309,713,145,2606
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",13,7,,1,5
,,,,,
"RURAL (054)",18762,7528,770,353,10127
"Quechua (055)",369,115,85,12,157
"Aymara (056)",3,2,,,1
"Asháninka (057)",1,,,1,
"Castellano (059)",18353,7392,684,340,9953
"Es Sordomudo/a (061)",36,19,1,,16
"Hombres (063)",10259,3829,408,181,5853
"Quechua (064)",183,55,46,6,76
"Aymara (065)",2,2,,,
"Castellano (068)",10054,3761,362,175,5768
"Es Sordomudo/a (070)",20,11,,,9
"Mujeres (072)",8503,3699,362,172,4274
"Quechua (073)",186,60,39,6,81
"Aymara (074)",1,,,,1
"Asháninka (075)",1,,,1,
"Castellano (077)",8299,3631,322,165,4185
"Es Sordomudo/a (079)",16,8,1,,7
