"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",993,283,710
"De 14 a 29 años (001)",551,220,331
"De 30 a 44 años (002)",270,54,216
"De 45 a 64 años (003)",136,9,127
"De 65 y más años (004)",36,,36
"Hombres (005)",733,178,555
"De 14 a 29 años (006)",374,134,240
"De 30 a 44 años (007)",211,38,173
"De 45 a 64 años (008)",115,6,109
"De 65 y más años (009)",33,,33
"Mujeres (010)",260,105,155
"De 14 a 29 años (011)",177,86,91
"De 30 a 44 años (012)",59,16,43
"De 45 a 64 años (013)",21,3,18
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",327,125,202
"De 14 a 29 años (016)",177,97,80
"De 30 a 44 años (017)",97,24,73
"De 45 a 64 años (018)",48,4,44
"De 65 y más años (019)",5,,5
"Hombres (020)",224,68,156
"De 14 a 29 años (021)",116,53,63
"De 30 a 44 años (022)",68,13,55
"De 45 a 64 años (023)",36,2,34
"De 65 y más años (024)",4,,4
"Mujeres (025)",103,57,46
"De 14 a 29 años (026)",61,44,17
"De 30 a 44 años (027)",29,11,18
"De 45 a 64 años (028)",12,2,10
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",666,158,508
"De 14 a 29 años (031)",374,123,251
"De 30 a 44 años (032)",173,30,143
"De 45 a 64 años (033)",88,5,83
"De 65 y más años (034)",31,,31
"Hombres (035)",509,110,399
"De 14 a 29 años (036)",258,81,177
"De 30 a 44 años (037)",143,25,118
"De 45 a 64 años (038)",79,4,75
"De 65 y más años (039)",29,,29
"Mujeres (040)",157,48,109
"De 14 a 29 años (041)",116,42,74
"De 30 a 44 años (042)",30,5,25
"De 45 a 64 años (043)",9,1,8
"De 65 y más años (044)",2,,2
