"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANTA (000)",12743,2813,967,443,8533
"Quechua (001)",512,24,31,20,438
"Aymara (002)",5,1,,1,3
"Asháninka (003)",1,1,,,
"Otra lengua nativa (004)",2,,,,2
"Castellano (005)",12218,2785,936,422,8087
"Es Sordomudo/a (007)",5,2,,,3
"Hombres (009)",6694,1372,522,282,4525
"Quechua (010)",464,22,26,18,398
"Aymara (011)",5,1,,1,3
"Castellano (014)",6221,1348,496,263,4121
"Es Sordomudo/a (016)",4,1,,,3
"Mujeres (018)",6049,1441,445,161,4008
"Quechua (019)",48,2,5,2,40
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",2,,,,2
"Castellano (023)",5997,1437,440,159,3966
"Es Sordomudo/a (025)",1,1,,,
,,,,,
"URBANA (027)",6137,1438,622,226,3861
"Quechua (028)",32,10,3,1,19
"Aymara (029)",4,1,,1,2
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",6097,1426,619,224,3837
"Es Sordomudo/a (034)",3,1,,,2
"Hombres (036)",3155,697,317,147,1999
"Quechua (037)",22,8,2,,12
"Aymara (038)",4,1,,1,2
"Castellano (041)",3126,687,315,146,1983
"Es Sordomudo/a (043)",3,1,,,2
"Mujeres (045)",2982,741,305,79,1862
"Quechua (046)",10,2,1,1,7
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",2971,739,304,78,1854
,,,,,
"RURAL (054)",6606,1375,345,217,4672
"Quechua (055)",480,14,28,19,419
"Aymara (056)",1,,,,1
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",6121,1359,317,198,4250
"Es Sordomudo/a (061)",2,1,,,1
"Hombres (063)",3539,675,205,135,2526
"Quechua (064)",442,14,24,18,386
"Aymara (065)",1,,,,1
"Castellano (068)",3095,661,181,117,2138
"Es Sordomudo/a (070)",1,,,,1
"Mujeres (072)",3067,700,140,82,2146
"Quechua (073)",38,,4,1,33
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",3026,698,136,81,2112
"Es Sordomudo/a (079)",1,1,,,
