"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia OTUZCO (000)",63930,10787,11845,12054,10084,7242,11918
"Católica (001)",50785,8786,9654,9620,7902,5692,9131
"Cristiana/Evangélica (002)",8284,1149,1157,1422,1453,1072,2031
"Otra (003)",2810,466,562,516,431,336,499
"Ninguna (004)",2051,386,472,496,298,142,257
"Hombres (006)",32191,5593,6019,6056,5089,3617,5817
"Católica (007)",26184,4636,4996,4929,4064,2951,4608
"Cristiana/Evangélica (008)",3597,527,507,606,655,440,862
"Otra (009)",1289,204,279,243,193,145,225
"Ninguna (010)",1121,226,237,278,177,81,122
"Mujeres (012)",31739,5194,5826,5998,4995,3625,6101
"Católica (013)",24601,4150,4658,4691,3838,2741,4523
"Cristiana/Evangélica (014)",4687,622,650,816,798,632,1169
"Otra (015)",1521,262,283,273,238,191,274
"Ninguna (016)",930,160,235,218,121,61,135
,,,,,,,
"URBANA (018)",16232,2540,2769,2899,2756,1981,3287
"Católica (019)",13516,2138,2365,2487,2272,1639,2615
"Cristiana/Evangélica (020)",1948,291,264,267,354,251,521
"Otra (021)",442,51,66,75,75,59,116
"Ninguna (022)",326,60,74,70,55,32,35
"Hombres (024)",7853,1297,1374,1366,1329,970,1517
"Católica (025)",6637,1106,1180,1176,1116,836,1223
"Cristiana/Evangélica (026)",825,130,121,114,145,96,219
"Otra (027)",200,23,36,33,32,19,57
"Ninguna (028)",191,38,37,43,36,19,18
"Mujeres (030)",8379,1243,1395,1533,1427,1011,1770
"Católica (031)",6879,1032,1185,1311,1156,803,1392
"Cristiana/Evangélica (032)",1123,161,143,153,209,155,302
"Otra (033)",242,28,30,42,43,40,59
"Ninguna (034)",135,22,37,27,19,13,17
,,,,,,,
"RURAL (036)",47698,8247,9076,9155,7328,5261,8631
"Católica (037)",37269,6648,7289,7133,5630,4053,6516
"Cristiana/Evangélica (038)",6336,858,893,1155,1099,821,1510
"Otra (039)",2368,415,496,441,356,277,383
"Ninguna (040)",1725,326,398,426,243,110,222
"Hombres (042)",24338,4296,4645,4690,3760,2647,4300
"Católica (043)",19547,3530,3816,3753,2948,2115,3385
"Cristiana/Evangélica (044)",2772,397,386,492,510,344,643
"Otra (045)",1089,181,243,210,161,126,168
"Ninguna (046)",930,188,200,235,141,62,104
"Mujeres (048)",23360,3951,4431,4465,3568,2614,4331
"Católica (049)",17722,3118,3473,3380,2682,1938,3131
"Cristiana/Evangélica (050)",3564,461,507,663,589,477,867
"Otra (051)",1279,234,253,231,195,151,215
"Ninguna (052)",795,138,198,191,102,48,118
