"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia CARHUAZ",,,,,,,,,
"Hogares (001)",11200,27,917,38,38,10031,3,2,144
"Ocupantes presentes (002)",43772,101,3167,104,145,39979,9,8,259
"Casa independiente",,,,,,,,,
"Hogares (004)",11126,26,903,37,38,9983,3,2,134
"Ocupantes presentes (005)",43535,99,3126,103,145,39803,9,8,242
"Departamento en edificio",,,,,,,,,
"Hogares (007)",7,1,5,,,,,,1
"Ocupantes presentes (008)",20,2,14,,,,,,4
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",8,,3,,,,,,5
"Ocupantes presentes (011)",16,,7,,,,,,9
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",15,,5,1,,7,,,2
"Ocupantes presentes (014)",39,,17,1,,19,,,2
"Choza o cabaña",,,,,,,,,
"Hogares (016)",38,,,,,36,,,2
"Ocupantes presentes (017)",139,,,,,137,,,2
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,,,2,,,
"Ocupantes presentes (020)",10,,,,,10,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",4,,1,,,3,,,
"Ocupantes presentes (023)",13,,3,,,10,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3955,23,794,33,13,3000,2,2,88
"Ocupantes presentes (029)",14732,80,2749,88,50,11591,6,8,160
"Casa independiente",,,,,,,,,
"Hogares (031)",3919,22,780,32,13,2988,2,2,80
"Ocupantes presentes (032)",14634,78,2708,87,50,11552,6,8,145
"Departamento en edificio",,,,,,,,,
"Hogares (034)",7,1,5,,,,,,1
"Ocupantes presentes (035)",20,2,14,,,,,,4
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",8,,3,,,,,,5
"Ocupantes presentes (038)",16,,7,,,,,,9
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",15,,5,1,,7,,,2
"Ocupantes presentes (041)",39,,17,1,,19,,,2
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,,,2,,,
"Ocupantes presentes (047)",10,,,,,10,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,1,,,3,,,
"Ocupantes presentes (050)",13,,3,,,10,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7245,4,123,5,25,7031,1,,56
"Ocupantes presentes (056)",29040,21,418,16,95,28388,3,,99
"Casa independiente",,,,,,,,,
"Hogares (058)",7207,4,123,5,25,6995,1,,54
"Ocupantes presentes (059)",28901,21,418,16,95,28251,3,,97
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",38,,,,,36,,,2
"Ocupantes presentes (071)",139,,,,,137,,,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
