"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ILO (000)",57920,3746,1704,12569,19068,4453,7008,3577,5795
"Jefe o Jefa (001)",17687,457,9,2875,6289,1536,2871,1089,2561
"Esposa(o)/ compa¤era(o) (002)",10246,413,12,1866,3468,867,1756,555,1309
"Hijo(a)/ hijastro(a) (003)",21109,1965,1329,5797,6174,1452,1620,1490,1282
"Yerno/ nuera (004)",952,3,4,35,393,95,210,49,163
"Nieto(a) (005)",2324,492,260,893,463,65,42,62,47
"Padres/ suegros (006)",712,186,,293,143,10,24,20,36
"Otro(a) pariente (007)",3514,199,75,610,1517,312,325,214,262
"Trabajador(a) del hogar (008)",151,2,,25,97,12,10,2,3
"Pensionista (009)",73,1,,7,27,9,12,10,7
"Otro(a) no pariente (010)",1152,28,15,168,497,95,138,86,125
"Hombres (012)",28688,1538,844,5944,9953,2250,3403,1827,2929
"Jefe o Jefa (013)",12687,133,2,1869,4712,1128,2061,844,1938
"Esposa(o)/ compa¤era(o) (014)",635,14,1,78,255,57,93,39,98
"Hijo(a)/ hijastro(a) (015)",10752,1002,674,2969,3329,737,793,694,554
"Yerno/ nuera (016)",499,2,,17,184,54,125,20,97
"Nieto(a) (017)",1215,256,122,473,246,42,24,29,23
"Padres/ suegros (018)",241,26,,126,54,4,10,9,12
"Otro(a) pariente (019)",1922,90,39,307,872,172,180,130,132
"Trabajador(a) del hogar (020)",8,2,,1,4,,1,,
"Pensionista (021)",54,,,6,24,5,8,9,2
"Otro(a) no pariente (022)",675,13,6,98,273,51,108,53,73
"Mujeres (024)",29232,2208,860,6625,9115,2203,3605,1750,2866
"Jefe o Jefa (025)",5000,324,7,1006,1577,408,810,245,623
"Esposa(o)/ compa¤era(o) (026)",9611,399,11,1788,3213,810,1663,516,1211
"Hijo(a)/ hijastro(a) (027)",10357,963,655,2828,2845,715,827,796,728
"Yerno/ nuera (028)",453,1,4,18,209,41,85,29,66
"Nieto(a) (029)",1109,236,138,420,217,23,18,33,24
"Padres/ suegros (030)",471,160,,167,89,6,14,11,24
"Otro(a) pariente (031)",1592,109,36,303,645,140,145,84,130
"Trabajador(a) del hogar (032)",143,,,24,93,12,9,2,3
"Pensionista (033)",19,1,,1,3,4,4,1,5
"Otro(a) no pariente (034)",477,15,9,70,224,44,30,33,52
,,,,,,,,,
"URBANA (036)",57702,3740,1701,12507,18988,4449,6996,3558,5763
"Jefe o Jefa (037)",17588,456,9,2848,6254,1535,2865,1079,2542
"Esposa(o)/ compa¤era(o) (038)",10207,413,12,1854,3449,866,1754,554,1305
"Hijo(a)/ hijastro(a) (039)",21051,1961,1327,5781,6155,1450,1618,1483,1276
"Yerno/ nuera (040)",948,3,4,35,392,95,209,49,161
"Nieto(a) (041)",2320,492,259,892,462,65,42,62,46
"Padres/ suegros (042)",710,186,,291,143,10,24,20,36
"Otro(a) pariente (043)",3506,198,75,608,1514,312,324,213,262
"Trabajador(a) del hogar (044)",150,2,,24,97,12,10,2,3
