"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ILO",,,
"Viviendas particulares (001)",17005,16116,889
"Ocupantes presentes (002)",61077,58744,2333
"Casa independiente",,,
"Viviendas particulares (004)",15180,14391,789
"Ocupantes presentes (005)",55449,53354,2095
"Departamento en edificio",,,
"Viviendas particulares (007)",1334,1334,
"Ocupantes presentes (008)",4223,4223,
"Vivienda en quinta",,,
"Viviendas particulares (010)",44,44,
"Ocupantes presentes (011)",142,142,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",46,43,3
"Ocupantes presentes (014)",121,113,8
"Choza o cabaña",,,
"Viviendas particulares (016)",11,1,10
"Ocupantes presentes (017)",28,5,23
"Vivienda improvisada",,,
"Viviendas particulares (019)",360,274,86
"Ocupantes presentes (020)",1055,849,206
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",25,24,1
"Ocupantes presentes (023)",51,50,1
"Otro tipo",,,
"Viviendas particulares (025)",5,5,
"Ocupantes presentes (026)",8,8,
,,,
URBANA,,,
"Viviendas particulares (028)",16906,16067,839
"Ocupantes presentes (029)",60848,58628,2220
"Casa independiente",,,
"Viviendas particulares (031)",15093,14343,750
"Ocupantes presentes (032)",55249,53243,2006
"Departamento en edificio",,,
"Viviendas particulares (034)",1334,1334,
"Ocupantes presentes (035)",4223,4223,
"Vivienda en quinta",,,
"Viviendas particulares (037)",44,44,
"Ocupantes presentes (038)",142,142,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",46,43,3
"Ocupantes presentes (041)",121,113,8
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",360,274,86
"Ocupantes presentes (047)",1055,849,206
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",24,24,
"Ocupantes presentes (050)",50,50,
"Otro tipo",,,
"Viviendas particulares (052)",5,5,
"Ocupantes presentes (053)",8,8,
,,,
RURAL,,,
"Viviendas particulares (055)",99,49,50
"Ocupantes presentes (056)",229,116,113
"Casa independiente",,,
"Viviendas particulares (058)",87,48,39
"Ocupantes presentes (059)",200,111,89
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",11,1,10
"Ocupantes presentes (071)",28,5,23
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,,1
"Ocupantes presentes (077)",1,,1
"Otro tipo",,,
