"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ABANCAY (000)",46818,6000,13831,12817,14170
"Asiste actualmente (001)",35332,2381,13362,12120,7469
"No asiste (002)",11486,3619,469,697,6701
"Hombres (004)",23738,3064,7125,6612,6937
"Asiste actualmente (005)",18193,1205,6881,6274,3833
"No asiste (006)",5545,1859,244,338,3104
"Mujeres (008)",23080,2936,6706,6205,7233
"Asiste actualmente (009)",17139,1176,6481,5846,3636
"No asiste (010)",5941,1760,225,359,3597
,,,,,
"URBANA (012)",30445,3469,8231,8340,10405
"Asiste actualmente (013)",23974,1557,8036,8016,6365
"No asiste (014)",6471,1912,195,324,4040
"Hombres (016)",15154,1798,4215,4154,4987
"Asiste actualmente (017)",12052,787,4116,4000,3149
"No asiste (018)",3102,1011,99,154,1838
"Mujeres (020)",15291,1671,4016,4186,5418
"Asiste actualmente (021)",11922,770,3920,4016,3216
"No asiste (022)",3369,901,96,170,2202
,,,,,
"RURAL (024)",16373,2531,5600,4477,3765
"Asiste actualmente (025)",11358,824,5326,4104,1104
"No asiste (026)",5015,1707,274,373,2661
"Hombres (028)",8584,1266,2910,2458,1950
"Asiste actualmente (029)",6141,418,2765,2274,684
"No asiste (030)",2443,848,145,184,1266
"Mujeres (032)",7789,1265,2690,2019,1815
"Asiste actualmente (033)",5217,406,2561,1830,420
"No asiste (034)",2572,859,129,189,1395
