"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PADRE ABAD (000)",29220,27369,1851
"Hombres (001)",16862,15936,926
"Mujeres (002)",12358,11433,925
"De 18 a 29 años (003)",11162,10086,1076
"Hombres (004)",6127,5564,563
"Mujeres (005)",5035,4522,513
"De 30 a 44 años (006)",10864,10490,374
"Hombres (007)",6204,6032,172
"Mujeres (008)",4660,4458,202
"De 45 a 64 años (009)",5760,5536,224
"Hombres (010)",3657,3544,113
"Mujeres (011)",2103,1992,111
"De 65 y más años (012)",1434,1257,177
"Hombres (013)",874,796,78
"Mujeres (014)",560,461,99
,,,
"URBANA (015)",15787,15032,755
"Hombres (016)",8821,8494,327
"Mujeres (017)",6966,6538,428
"De 18 a 29 años (018)",6109,5640,469
"Hombres (019)",3229,3005,224
"Mujeres (020)",2880,2635,245
"De 30 a 44 años (021)",6086,5949,137
"Hombres (022)",3361,3311,50
"Mujeres (023)",2725,2638,87
"De 45 a 64 años (024)",2923,2854,69
"Hombres (025)",1850,1821,29
"Mujeres (026)",1073,1033,40
"De 65 y más años (027)",669,589,80
"Hombres (028)",381,357,24
"Mujeres (029)",288,232,56
,,,
"RURAL (030)",13433,12337,1096
"Hombres (031)",8041,7442,599
"Mujeres (032)",5392,4895,497
"De 18 a 29 años (033)",5053,4446,607
"Hombres (034)",2898,2559,339
"Mujeres (035)",2155,1887,268
"De 30 a 44 años (036)",4778,4541,237
"Hombres (037)",2843,2721,122
"Mujeres (038)",1935,1820,115
"De 45 a 64 años (039)",2837,2682,155
"Hombres (040)",1807,1723,84
"Mujeres (041)",1030,959,71
"De 65 y más años (042)",765,668,97
"Hombres (043)",493,439,54
"Mujeres (044)",272,229,43
