"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YAUYOS (000)",26095,5669,3856,586,16012
"Quechua (001)",815,105,66,8,637
"Aymara (002)",6,2,,,4
"Asháninka (003)",2,2,,1,
"Otra lengua nativa (004)",842,311,45,7,480
"Castellano (005)",24343,5237,3744,569,14818
"Es Sordomudo/a (007)",87,12,1,1,73
"Hombres (009)",14273,2759,2895,407,8236
"Quechua (010)",425,59,36,4,327
"Aymara (011)",2,1,,,1
"Asháninka (012)",2,2,,1,
"Otra lengua nativa (013)",451,141,29,4,278
"Castellano (014)",13331,2547,2830,397,7578
"Es Sordomudo/a (016)",62,9,,1,52
"Mujeres (018)",11822,2910,961,179,7776
"Quechua (019)",390,46,30,4,310
"Aymara (020)",4,1,,,3
"Otra lengua nativa (022)",391,170,16,3,202
"Castellano (023)",11012,2690,914,172,7240
"Es Sordomudo/a (025)",25,3,1,,21
,,,,,
"URBANA (027)",14952,3879,1653,442,8996
"Quechua (028)",245,32,35,4,174
"Aymara (029)",4,1,,,3
"Asháninka (030)",1,1,,1,
"Otra lengua nativa (031)",415,195,41,4,175
"Castellano (032)",14250,3643,1576,432,8616
"Es Sordomudo/a (034)",37,7,1,1,28
"Hombres (036)",7595,1878,883,293,4556
"Quechua (037)",111,13,18,1,79
"Asháninka (039)",1,1,,1,
"Otra lengua nativa (040)",200,85,26,1,88
"Castellano (041)",7262,1775,839,289,4373
"Es Sordomudo/a (043)",21,4,,1,16
"Mujeres (045)",7357,2001,770,149,4440
"Quechua (046)",134,19,17,3,95
"Aymara (047)",4,1,,,3
"Otra lengua nativa (049)",215,110,15,3,87
"Castellano (050)",6988,1868,737,143,4243
"Es Sordomudo/a (052)",16,3,1,,12
,,,,,
"RURAL (054)",11143,1790,2203,144,7016
"Quechua (055)",570,73,31,4,463
"Aymara (056)",2,1,,,1
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",427,116,4,3,305
"Castellano (059)",10093,1594,2168,137,6202
"Es Sordomudo/a (061)",50,5,,,45
"Hombres (063)",6678,881,2012,114,3680
"Quechua (064)",314,46,18,3,248
"Aymara (065)",2,1,,,1
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",251,56,3,3,190
"Castellano (068)",6069,772,1991,108,3205
"Es Sordomudo/a (070)",41,5,,,36
"Mujeres (072)",4465,909,191,30,3336
"Quechua (073)",256,27,13,1,215
"Otra lengua nativa (076)",176,60,1,,115
"Castellano (077)",4024,822,177,29,2997
"Es Sordomudo/a (079)",9,,,,9
