"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TAHUAMANU (000)",2662,9086,1818,6423,844,2663
"Casa independiente (001)",1898,7194,1444,5477,454,1717
"Vivienda en quinta (003)",26,63,26,63,,
"Vivienda en casa de vecindad (004)",328,829,328,829,,
"Choza o cabaña (005)",390,946,,,390,946
"Vivienda improvisada (006)",12,36,12,36,,
"Local no dest.para hab. humana (007)",7,14,7,14,,
"Otro tipo (008)",1,4,1,4,,
