"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CAÑETE (000)",2960,587,2373
"De 14 a 29 años (001)",1572,485,1087
"De 30 a 44 años (002)",832,83,749
"De 45 a 64 años (003)",449,19,430
"De 65 y más años (004)",107,,107
"Hombres (005)",1973,322,1651
"De 14 a 29 años (006)",997,271,726
"De 30 a 44 años (007)",546,41,505
"De 45 a 64 años (008)",345,10,335
"De 65 y más años (009)",85,,85
"Mujeres (010)",987,265,722
"De 14 a 29 años (011)",575,214,361
"De 30 a 44 años (012)",286,42,244
"De 45 a 64 años (013)",104,9,95
"De 65 y más años (014)",22,,22
,,,
"AREA URBANA (015)",2644,529,2115
"De 14 a 29 años (016)",1401,432,969
"De 30 a 44 años (017)",751,78,673
"De 45 a 64 años (018)",400,19,381
"De 65 y más años (019)",92,,92
"Hombres (020)",1759,291,1468
"De 14 a 29 años (021)",895,244,651
"De 30 a 44 años (022)",487,37,450
"De 45 a 64 años (023)",304,10,294
"De 65 y más años (024)",73,,73
"Mujeres (025)",885,238,647
"De 14 a 29 años (026)",506,188,318
"De 30 a 44 años (027)",264,41,223
"De 45 a 64 años (028)",96,9,87
"De 65 y más años (029)",19,,19
,,,
"AREA RURAL (030)",316,58,258
"De 14 a 29 años (031)",171,53,118
"De 30 a 44 años (032)",81,5,76
"De 45 a 64 años (033)",49,,49
"De 65 y más años (034)",15,,15
"Hombres (035)",214,31,183
"De 14 a 29 años (036)",102,27,75
"De 30 a 44 años (037)",59,4,55
"De 45 a 64 años (038)",41,,41
"De 65 y más años (039)",12,,12
"Mujeres (040)",102,27,75
"De 14 a 29 años (041)",69,26,43
"De 30 a 44 años (042)",22,1,21
"De 45 a 64 años (043)",8,,8
"De 65 y más años (044)",3,,3
