"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia VILCAS HUAMAN (000)",7073,1326,5747
"Red pública de desague dentro de la vivienda (001)",508,425,83
"Red pública de desague fuera de la vivienda (002)",98,72,26
"Pozo séptico (003)",328,53,275
"Pozo ciego o negro / letrina (004)",3277,355,2922
"Río, acequia o canal (005)",31,7,24
"No tiene (006)",2831,414,2417
,,,
"URBANA (008)",2208,1184,1024
"Red pública de desague dentro de la vivienda (009)",497,425,72
"Red pública de desague fuera de la vivienda (010)",76,71,5
"Pozo séptico (011)",58,32,26
"Pozo ciego o negro / letrina (012)",724,267,457
"Río, acequia o canal (013)",8,5,3
"No tiene (014)",845,384,461
,,,
"RURAL (016)",4865,142,4723
"Red pública de desague dentro de la vivienda (017)",11,,11
"Red pública de desague fuera de la vivienda (018)",22,1,21
"Pozo séptico (019)",270,21,249
"Pozo ciego o negro / letrina (020)",2553,88,2465
"Río, acequia o canal (021)",23,2,21
"No tiene (022)",1986,30,1956
