"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",4270,41,1224,1392,1173,440
"Agric., ganadería, caza y silvicultura (001)",2675,35,648,766,846,380
"Pesca (002)",10,,1,4,4,1
"Explotación de minas y canteras (003)",1,,1,,,
"Industrias manufactureras (004)",111,1,35,30,38,7
"Suministro de electricidad, gas y agua (005)",19,,7,5,7,
"Construcción (006)",351,,155,132,59,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",173,1,55,66,44,7
"Venta, mant.y rep. veh.autom.y motoc. (008)",6,,4,,2,
"Comercio al por mayor (009)",5,,2,3,,
"Comercio al por menor (010)",162,1,49,63,42,7
"Hoteles y restaurantes (011)",55,,20,18,13,4
"Trans., almac. y comunicaciones (012)",58,,20,29,9,
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",37,,13,17,7,
"Admin.pub. y defensa; p. segur.soc afil (015)",248,,72,106,59,11
"Enseñanza (016)",172,,54,102,15,1
"Servicios sociales y de salud (017)",30,,13,14,3,
"Otras activ. serv.comun.soc y personales (018)",6,,2,2,1,1
"Hogares privados con servicio doméstico (019)",14,1,10,2,,1
"Actividad economica no especificada (021)",102,,34,34,20,14
"Desocupado (022)",207,3,83,65,48,8
"Hombres (023)",2720,22,797,876,744,281
"Agric., ganadería, caza y silvicultura (024)",1640,18,405,454,519,244
"Pesca (025)",10,,1,4,4,1
"Industrias manufactureras (027)",45,,19,13,9,4
"Suministro de electricidad, gas y agua (028)",19,,7,5,7,
"Construcción (029)",329,,145,124,56,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",74,1,28,24,19,2
"Venta, mant.y rep. veh.autom.y motoc. (031)",6,,4,,2,
"Comercio al por mayor (032)",3,,1,2,,
"Comercio al por menor (033)",65,1,23,22,17,2
"Hoteles y restaurantes (034)",11,,5,1,2,3
"Trans., almac. y comunicaciones (035)",55,,19,27,9,
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",26,,8,13,5,
"Admin.pub. y defensa; p. segur.soc afil (038)",220,,59,96,55,10
"Enseñanza (039)",62,,9,41,11,1
"Servicios sociales y de salud (040)",9,,4,4,1,
"Otras activ. serv.comun.soc y personales (041)",2,,1,,,1
"Hogares privados con servicio doméstico (042)",3,,2,1,,
"Actividad economica no especificada (044)",44,,16,17,7,4
