"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYMARAES (000)",9224,6324,1366,391,1143
"Agric., ganadería, caza y silvicultura (001)",5515,4574,877,53,11
"Pesca (002)",5,2,3,,
"Explotación de minas y canteras (003)",931,113,69,141,608
"Industrias manufactureras (004)",117,105,6,1,5
"Suministro de electricidad, gas y agua (005)",9,2,2,4,1
"Construcción (006)",370,200,106,57,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",581,563,16,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",22,20,1,1,
"Comercio al por mayor (009)",29,25,4,,
"Comercio al por menor (010)",530,518,11,1,
"Hoteles y restaurantes (011)",188,158,26,3,1
"Trans., almac. y comunicaciones (012)",201,153,23,15,10
"Intermediación financiera (013)",6,4,1,1,
"Activid.inmobil., empres. y alquileres (014)",53,30,7,12,4
"Admin.pub. y defensa; p. segur soc.afil (015)",341,,,,341
"Enseñanza (016)",486,153,196,78,59
"Servicios sociales y de salud (017)",121,15,9,10,87
"Otras activ. serv.comun.soc y personales (018)",60,41,5,11,3
"Hogares privados con servicio doméstico (019)",66,66,,,
"Actividad economica no especificada (021)",174,145,20,3,6
"Hombres (022)",7025,4670,1076,319,960
"Agric., ganadería, caza y silvicultura (023)",4499,3735,715,42,7
"Pesca (024)",5,2,3,,
"Explotación de minas y canteras (025)",902,104,67,140,591
"Industrias manufactureras (026)",83,75,3,1,4
"Suministro de electricidad, gas y agua (027)",9,2,2,4,1
"Construcción (028)",351,197,101,47,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",221,208,12,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",20,18,1,1,
"Comercio al por mayor (031)",19,15,4,,
"Comercio al por menor (032)",182,175,7,,
"Hoteles y restaurantes (033)",45,36,7,1,1
"Trans., almac. y comunicaciones (034)",193,146,23,15,9
"Intermediación financiera (035)",5,3,1,1,
"Activid.inmobil., empres. y alquileres (036)",47,26,7,10,4
"Admin.pub. y defensa; p. segur soc.afil (037)",267,,,,267
"Enseñanza (038)",268,62,118,49,39
"Servicios sociales y de salud (039)",41,7,5,3,26
"Otras activ. serv.comun.soc y personales (040)",24,16,3,5,
"Hogares privados con servicio doméstico (041)",8,8,,,
"Actividad economica no especificada (043)",57,43,9,,5
