"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAROWILCA (000)",9610,8758,426,152,274
"Sin nivel (001)",1300,1281,12,5,2
"Educación inicial (002)",25,24,,1,
"Primaria (003)",4577,4428,117,16,16
"Secundaria (004)",2869,2676,143,9,41
"Superior no univ. incompleta (005)",110,79,12,11,8
"Superior no univ. completa (006)",262,95,40,38,89
"Superior univ. incompleta (007)",86,56,10,8,12
"Superior univ. completa (008)",381,119,92,64,106
"De 06 a 14 años (010)",586,570,14,1,1
"Sin nivel (011)",16,16,,,
"Educación inicial (012)",9,9,,,
"Primaria (013)",450,438,11,1,
"Secundaria (014)",111,107,3,,1
"De 15 a 29 años (020)",2658,2420,132,33,73
"Sin nivel (021)",78,78,,,
"Educación inicial (022)",8,7,,1,
"Primaria (023)",777,749,19,2,7
"Secundaria (024)",1537,1445,77,5,10
"Superior no univ. incompleta (025)",48,43,3,1,1
"Superior no univ. completa (026)",59,26,9,6,18
"Superior univ. incompleta (027)",35,27,3,2,3
"Superior univ. completa (028)",116,45,21,16,34
"De 30 a 44 años (030)",2895,2502,191,66,136
"Sin nivel (031)",256,251,4,,1
"Educación inicial (032)",8,8,,,
"Primaria (033)",1393,1335,49,7,2
"Secundaria (034)",821,752,48,3,18
"Superior no univ. incompleta (035)",46,28,8,5,5
"Superior no univ. completa (036)",138,49,19,21,49
"Superior univ. incompleta (037)",37,21,5,4,7
"Superior univ. completa (038)",196,58,58,26,54
"De 45 a 64 años (040)",2479,2288,79,50,62
"Sin nivel (041)",571,561,6,4,
"Primaria (043)",1396,1350,33,6,7
"Secundaria (044)",354,327,14,1,12
"Superior no univ. incompleta (045)",15,8,1,5,1
"Superior no univ. completa (046)",61,18,11,10,22
"Superior univ. incompleta (047)",14,8,2,2,2
"Superior univ. completa (048)",68,16,12,22,18
"De 65 y más años (050)",992,978,10,2,2
"Sin nivel (051)",379,375,2,1,1
"Primaria (053)",561,556,5,,
"Secundaria (054)",46,45,1,,
"Superior no univ. incompleta (055)",1,,,,1
"Superior no univ. completa (056)",4,2,1,1,
"Superior univ. completa (058)",1,,1,,
,,,,,
"URBANA (060)",2373,1922,174,107,170
"Sin nivel (061)",175,170,4,,1
"Educación inicial (062)",1,1,,,
