"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SULLANA",,,,,,,,
"Hogares (001)",67697,41121,45967,19136,2837,18735,5265,9388
"Ocupantes presentes (002)",285727,177668,205203,88184,12737,85290,24352,31898
"Casa independiente",,,,,,,,
"Hogares (004)",67100,40778,45543,18917,2775,18510,5136,9292
"Ocupantes presentes (005)",283622,176412,203616,87278,12471,84429,23838,31631
"Departamento en edificio",,,,,,,,
"Hogares (007)",280,185,250,145,43,160,97,17
"Ocupantes presentes (008)",988,680,897,587,180,610,373,54
"Vivienda en quinta",,,,,,,,
"Hogares (010)",81,42,54,27,10,28,13,17
"Ocupantes presentes (011)",281,153,214,112,50,107,53,43
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",73,34,58,27,7,21,12,9
"Ocupantes presentes (014)",305,123,244,133,28,85,68,42
"Choza o cabaña",,,,,,,,
"Hogares (016)",43,33,4,3,,2,,10
"Ocupantes presentes (017)",127,99,12,6,,2,,28
"Vivienda improvisada",,,,,,,,
"Hogares (019)",76,30,40,10,1,9,4,24
"Ocupantes presentes (020)",286,130,167,44,5,41,12,70
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",38,17,17,7,1,5,3,15
"Ocupantes presentes (023)",106,65,50,24,3,16,8,24
"Otro tipo",,,,,,,,
"Hogares (025)",6,2,1,,,,,4
"Ocupantes presentes (026)",12,6,3,,,,,6
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",60673,35701,44271,18598,2833,18367,5251,8285
"Ocupantes presentes (029)",256988,154920,197690,85747,12716,83580,24283,28040
"Casa independiente",,,,,,,,
"Hogares (031)",60124,35392,43851,18382,2771,18144,5122,8203
"Ocupantes presentes (032)",255020,153769,196115,84847,12450,82721,23769,27805
"Departamento en edificio",,,,,,,,
"Hogares (034)",280,185,250,145,43,160,97,17
"Ocupantes presentes (035)",988,680,897,587,180,610,373,54
"Vivienda en quinta",,,,,,,,
"Hogares (037)",81,42,54,27,10,28,13,17
"Ocupantes presentes (038)",281,153,214,112,50,107,53,43
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",73,34,58,27,7,21,12,9
"Ocupantes presentes (041)",305,123,244,133,28,85,68,42
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",76,30,40,10,1,9,4,24
"Ocupantes presentes (047)",286,130,167,44,5,41,12,70
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",35,16,17,7,1,5,3,13
"Ocupantes presentes (050)",98,59,50,24,3,16,8,22
"Otro tipo",,,,,,,,
"Hogares (052)",4,2,1,,,,,2
"Ocupantes presentes (053)",10,6,3,,,,,4
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",7024,5420,1696,538,4,368,14,1103
"Ocupantes presentes (056)",28739,22748,7513,2437,21,1710,69,3858
"Casa independiente",,,,,,,,
"Hogares (058)",6976,5386,1692,535,4,366,14,1089
"Ocupantes presentes (059)",28602,22643,7501,2431,21,1708,69,3826
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",43,33,4,3,,2,,10
"Ocupantes presentes (071)",127,99,12,6,,2,,28
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",3,1,,,,,,2
"Ocupantes presentes (077)",8,6,,,,,,2
"Otro tipo",,,,,,,,
"Hogares (079)",2,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,2
