"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MORROPON (000)",120563,20429,20516,20339,19571,15794,23914
"Católica (001)",110658,18846,18963,18604,17892,14445,21908
"Cristiana/Evangélica (002)",7483,1216,1057,1297,1257,1038,1618
"Otra (003)",1496,237,272,238,267,204,278
"Ninguna (004)",926,130,224,200,155,107,110
"Hombres (006)",61143,10641,10687,9853,9578,7987,12397
"Católica (007)",56459,9866,9961,9077,8785,7340,11430
"Cristiana/Evangélica (008)",3439,586,470,556,586,470,771
"Otra (009)",653,111,123,88,106,100,125
"Ninguna (010)",592,78,133,132,101,77,71
"Mujeres (012)",59420,9788,9829,10486,9993,7807,11517
"Católica (013)",54199,8980,9002,9527,9107,7105,10478
"Cristiana/Evangélica (014)",4044,630,587,741,671,568,847
"Otra (015)",843,126,149,150,161,104,153
"Ninguna (016)",334,52,91,68,54,30,39
,,,,,,,
"URBANA (018)",70762,11249,12327,12197,11834,9476,13679
"Católica (019)",64974,10374,11333,11129,10814,8667,12657
"Cristiana/Evangélica (020)",4147,643,652,766,729,583,774
"Otra (021)",1095,167,201,184,200,150,193
"Ninguna (022)",546,65,141,118,91,76,55
"Hombres (024)",35229,5760,6229,5735,5653,4732,7120
"Católica (025)",32509,5337,5781,5263,5169,4335,6624
"Cristiana/Evangélica (026)",1887,306,275,323,338,270,375
"Otra (027)",473,78,88,71,80,73,83
"Ninguna (028)",360,39,85,78,66,54,38
"Mujeres (030)",35533,5489,6098,6462,6181,4744,6559
"Católica (031)",32465,5037,5552,5866,5645,4332,6033
"Cristiana/Evangélica (032)",2260,337,377,443,391,313,399
"Otra (033)",622,89,113,113,120,77,110
"Ninguna (034)",186,26,56,40,25,22,17
,,,,,,,
"RURAL (036)",49801,9180,8189,8142,7737,6318,10235
"Católica (037)",45684,8472,7630,7475,7078,5778,9251
"Cristiana/Evangélica (038)",3336,573,405,531,528,455,844
"Otra (039)",401,70,71,54,67,54,85
"Ninguna (040)",380,65,83,82,64,31,55
"Hombres (042)",25914,4881,4458,4118,3925,3255,5277
"Católica (043)",23950,4529,4180,3814,3616,3005,4806
"Cristiana/Evangélica (044)",1552,280,195,233,248,200,396
"Otra (045)",180,33,35,17,26,27,42
"Ninguna (046)",232,39,48,54,35,23,33
"Mujeres (048)",23887,4299,3731,4024,3812,3063,4958
"Católica (049)",21734,3943,3450,3661,3462,2773,4445
"Cristiana/Evangélica (050)",1784,293,210,298,280,255,448
"Otra (051)",221,37,36,37,41,27,43
"Ninguna (052)",148,26,35,28,29,8,22
