"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LAMBAYEQUE (000)",54766,258671,27896,124818,26870,133853
"Casa independiente (001)",51815,246863,26634,120734,25181,126129
"Departamento en edificio (002)",272,929,272,929,,
"Vivienda en quinta (003)",280,1007,280,1007,,
"Vivienda en casa de vecindad (004)",132,449,132,449,,
"Choza o cabaña (005)",1672,7670,,,1672,7670
"Vivienda improvisada (006)",537,1572,537,1572,,
"Local no dest.para hab. humana (007)",50,164,36,115,14,49
"Otro tipo (008)",8,17,5,12,3,5
