"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACASMAYO (000)",31502,19847,4711,3845,3099
"Empleado (001)",7014,2574,1111,1513,1816
"Obrero (002)",11850,5797,2639,2191,1223
"Trabajador independiente (003)",9931,9185,746,,
"Empleador o patrono (004)",872,598,131,97,46
"Trabajador familiar no remunerado (005)",959,817,84,44,14
"Trabajador del hogar (006)",876,876,,,
"De 06 a 14 años (008)",356,244,61,39,12
"Empleado (009)",38,31,6,1,
"Obrero (010)",132,61,33,28,10
"Trabajador independiente (011)",53,49,4,,
"Empleador o patrono (012)",1,,,,1
"Trabajador familiar no remunerado (013)",107,78,18,10,1
"Trabajador del hogar (014)",25,25,,,
"De 15 a 29 años (016)",9262,5670,1583,1164,845
"Empleado (017)",2071,1025,342,292,412
"Obrero (018)",4070,1859,956,842,413
"Trabajador independiente (019)",2239,2017,222,,
"Empleador o patrono (020)",148,90,26,19,13
"Trabajador familiar no remunerado (021)",355,300,37,11,7
"Trabajador del hogar (022)",379,379,,,
"De 30 a 44 años (024)",11687,7065,1769,1571,1282
"Empleado (025)",2989,923,504,761,801
"Obrero (026)",4230,2053,951,762,464
"Trabajador independiente (027)",3638,3376,262,,
"Empleador o patrono (028)",271,188,34,35,14
"Trabajador familiar no remunerado (029)",263,229,18,13,3
"Trabajador del hogar (030)",296,296,,,
"De 45 a 64 años (032)",8767,5734,1162,983,888
"Empleado (033)",1775,534,240,439,562
"Obrero (034)",3002,1563,629,501,309
"Trabajador independiente (035)",3311,3082,229,,
"Empleador o patrono (036)",344,235,57,36,16
"Trabajador familiar no remunerado (037)",176,161,7,7,1
"Trabajador del hogar (038)",159,159,,,
"De 65 y más años (040)",1430,1134,136,88,72
"Empleado (041)",141,61,19,20,41
"Obrero (042)",416,261,70,58,27
"Trabajador independiente (043)",690,661,29,,
"Empleador o patrono (044)",108,85,14,7,2
"Trabajador familiar no remunerado (045)",58,49,4,3,2
"Trabajador del hogar (046)",17,17,,,
,,,,,
"URBANA (048)",29336,18486,4144,3651,3055
"Empleado (049)",6872,2500,1090,1487,1795
"Obrero (050)",10364,4953,2162,2044,1205
"Trabajador independiente (051)",9613,8902,711,,
"Empleador o patrono (052)",754,526,106,81,41
