"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ANTONIO RAYMONDI (000)",3951,2395,1556
"Red pública dentro de la vivienda (001)",3065,2030,1035
"Red pública fuera de la vivienda (002)",178,130,48
"Pilón de uso público (003)",60,41,19
"Pozo (005)",211,67,144
"Río, acequia, manatial o similar (006)",256,60,196
"Vecino (007)",165,60,105
"Otro (008)",16,7,9
,,,
"URBANA (010)",1068,894,174
"Red pública dentro de la vivienda (011)",950,820,130
"Red pública fuera de la vivienda (012)",37,32,5
"Pilón de uso público (013)",9,6,3
"Pozo (015)",31,15,16
"Vecino (017)",30,14,16
"Otro (018)",11,7,4
,,,
"RURAL (020)",2883,1501,1382
"Red pública dentro de la vivienda (021)",2115,1210,905
"Red pública fuera de la vivienda (022)",141,98,43
"Pilón de uso público (023)",51,35,16
"Pozo (025)",180,52,128
"Río, acequia, manatial o similar (026)",256,60,196
"Vecino (027)",135,46,89
"Otro (028)",5,,5
