"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHICLAYO",,,,,,,,,
"Viviendas particulares (001)",5529,2722,989,483,630,73,83,102,447
"Ocupantes presentes (002)",24497,11403,4641,2269,2906,359,421,509,1989
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5266,2615,944,462,606,68,75,92,404
"Ocupantes presentes (005)",23496,11042,4436,2182,2807,335,389,477,1828
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",131,57,22,11,7,2,7,1,24
"Ocupantes presentes (008)",524,201,115,48,33,5,26,3,93
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",54,19,8,9,2,,1,7,8
"Ocupantes presentes (011)",205,62,40,36,6,,6,22,33
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",57,22,13,1,13,3,,2,3
"Ocupantes presentes (014)",212,78,42,3,52,19,,7,11
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",5,3,2,,,,,,
"Ocupantes presentes (017)",18,10,8,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",12,2,,,2,,,,8
"Ocupantes presentes (020)",35,3,,,8,,,,24
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,4,,,,,,,
"Ocupantes presentes (023)",7,7,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5092,2374,936,459,624,73,83,102,441
"Ocupantes presentes (029)",22743,10023,4408,2187,2883,359,421,509,1953
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4834,2270,893,438,600,68,75,92,398
"Ocupantes presentes (032)",21760,9672,4211,2100,2784,335,389,477,1792
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",131,57,22,11,7,2,7,1,24
"Ocupantes presentes (035)",524,201,115,48,33,5,26,3,93
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",54,19,8,9,2,,1,7,8
"Ocupantes presentes (038)",205,62,40,36,6,,6,22,33
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",57,22,13,1,13,3,,2,3
"Ocupantes presentes (041)",212,78,42,3,52,19,,7,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",12,2,,,2,,,,8
"Ocupantes presentes (047)",35,3,,,8,,,,24
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,4,,,,,,,
"Ocupantes presentes (050)",7,7,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",437,348,53,24,6,,,,6
"Ocupantes presentes (056)",1754,1380,233,82,23,,,,36
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",432,345,51,24,6,,,,6
"Ocupantes presentes (059)",1736,1370,225,82,23,,,,36
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",5,3,2,,,,,,
"Ocupantes presentes (071)",18,10,8,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
