"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia YAULI (000)",20876,2907,6157,5304,6508
"Asiste actualmente (001)",14454,1325,5936,4996,2197
"No asiste (002)",6422,1582,221,308,4311
"Hombres (004)",10617,1518,3130,2677,3292
"Asiste actualmente (005)",7393,674,3022,2534,1163
"No asiste (006)",3224,844,108,143,2129
"Mujeres (008)",10259,1389,3027,2627,3216
"Asiste actualmente (009)",7061,651,2914,2462,1034
"No asiste (010)",3198,738,113,165,2182
,,,,,
"URBANA (012)",18602,2561,5540,4816,5685
"Asiste actualmente (013)",13230,1237,5383,4596,2014
"No asiste (014)",5372,1324,157,220,3671
"Hombres (016)",9405,1344,2810,2419,2832
"Asiste actualmente (017)",6747,630,2736,2314,1067
"No asiste (018)",2658,714,74,105,1765
"Mujeres (020)",9197,1217,2730,2397,2853
"Asiste actualmente (021)",6483,607,2647,2282,947
"No asiste (022)",2714,610,83,115,1906
,,,,,
"RURAL (024)",2274,346,617,488,823
"Asiste actualmente (025)",1224,88,553,400,183
"No asiste (026)",1050,258,64,88,640
"Hombres (028)",1212,174,320,258,460
"Asiste actualmente (029)",646,44,286,220,96
"No asiste (030)",566,130,34,38,364
"Mujeres (032)",1062,172,297,230,363
"Asiste actualmente (033)",578,44,267,180,87
"No asiste (034)",484,128,30,50,276
