"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia HUAMALIES",,,,
"Viviendas particulares (001)",4870,2923,1596,351
"Ocupantes presentes (002)",21775,13370,6901,1504
"Casa independiente",,,,
"Viviendas particulares (004)",4778,2875,1582,321
"Ocupantes presentes (005)",21418,13178,6855,1385
"Departamento en edificio",,,,
"Viviendas particulares (007)",3,3,,
"Ocupantes presentes (008)",11,11,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",28,22,6,
"Ocupantes presentes (011)",97,81,16,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",31,21,8,2
"Ocupantes presentes (014)",134,96,30,8
"Choza o cabaña",,,,
"Viviendas particulares (016)",28,,,28
"Ocupantes presentes (017)",111,,,111
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",2,2,,
"Ocupantes presentes (023)",4,4,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",4329,2678,1389,262
"Ocupantes presentes (029)",19347,12217,5990,1140
"Casa independiente",,,,
"Viviendas particulares (031)",4262,2635,1378,249
"Ocupantes presentes (032)",19089,12056,5950,1083
"Departamento en edificio",,,,
"Viviendas particulares (034)",3,3,,
"Ocupantes presentes (035)",11,11,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",26,22,4,
"Ocupantes presentes (038)",94,81,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",23,16,7,
"Ocupantes presentes (041)",92,65,27,
"Choza o cabaña",,,,
"Viviendas particulares (043)",13,,,13
"Ocupantes presentes (044)",57,,,57
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",2,2,,
"Ocupantes presentes (050)",4,4,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",541,245,207,89
"Ocupantes presentes (056)",2428,1153,911,364
"Casa independiente",,,,
"Viviendas particulares (058)",516,240,204,72
"Ocupantes presentes (059)",2329,1122,905,302
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",2,,2,
"Ocupantes presentes (065)",3,,3,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",8,5,1,2
"Ocupantes presentes (068)",42,31,3,8
"Choza o cabaña",,,,
"Viviendas particulares (070)",15,,,15
"Ocupantes presentes (071)",54,,,54
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2754,1961,743,50
"Ocupantes presentes (110)",12198,8986,3004,208
"Casa independiente",,,,
"Viviendas particulares (112)",2691,1914,729,48
"Ocupantes presentes (113)",11953,8795,2958,200
"Departamento en edificio",,,,
"Viviendas particulares (115)",3,3,,
"Ocupantes presentes (116)",11,11,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",28,22,6,
"Ocupantes presentes (119)",97,81,16,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",31,21,8,2
"Ocupantes presentes (122)",134,96,30,8
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",3,3,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2584,1870,680,34
"Ocupantes presentes (137)",11418,8518,2762,138
"Casa independiente",,,,
"Viviendas particulares (139)",2531,1828,669,34
"Ocupantes presentes (140)",11218,8358,2722,138
"Departamento en edificio",,,,
"Viviendas particulares (142)",3,3,,
"Ocupantes presentes (143)",11,11,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",26,22,4,
"Ocupantes presentes (146)",94,81,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",23,16,7,
"Ocupantes presentes (149)",92,65,27,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",3,3,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",170,91,63,16
"Ocupantes presentes (164)",780,468,242,70
"Casa independiente",,,,
"Viviendas particulares (166)",160,86,60,14
"Ocupantes presentes (167)",735,437,236,62
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",2,,2,
"Ocupantes presentes (173)",3,,3,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",8,5,1,2
"Ocupantes presentes (176)",42,31,3,8
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2116,962,853,301
"Ocupantes presentes (218)",9577,4384,3897,1296
"Casa independiente",,,,
"Viviendas particulares (220)",2087,961,853,273
"Ocupantes presentes (221)",9465,4383,3897,1185
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",28,,,28
"Ocupantes presentes (233)",111,,,111
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",1,1,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1745,808,709,228
"Ocupantes presentes (245)",7929,3699,3228,1002
"Casa independiente",,,,
"Viviendas particulares (247)",1731,807,709,215
"Ocupantes presentes (248)",7871,3698,3228,945
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",13,,,13
"Ocupantes presentes (260)",57,,,57
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",371,154,144,73
"Ocupantes presentes (272)",1648,685,669,294
"Casa independiente",,,,
"Viviendas particulares (274)",356,154,144,58
"Ocupantes presentes (275)",1594,685,669,240
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",15,,,15
"Ocupantes presentes (287)",54,,,54
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
