"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARI (000)",55935,12775,1693,22501,13337,1644,2483,457,1045
"Jefe o Jefa (001)",14710,4025,19,5827,2804,378,1038,131,488
"Esposa(o)/ compa¤era(o) (002)",9530,3453,16,3550,1539,197,519,61,195
"Hijo(a)/ hijastro(a) (003)",24379,3357,1373,10673,7304,733,604,175,160
"Yerno/ nuera (004)",697,37,1,177,300,65,75,11,31
"Nieto(a) (005)",2067,481,188,943,400,29,14,5,7
"Padres/ suegros (006)",951,684,1,230,22,2,6,3,3
"Otro(a) pariente (007)",2836,648,89,975,729,153,124,40,78
"Trabajador(a) del hogar (008)",73,13,,24,28,2,4,,2
"Pensionista (009)",100,,,13,26,17,16,14,14
"Otro(a) no pariente (010)",592,77,6,89,185,68,83,17,67
"Hombres (012)",27659,4249,822,11486,7783,975,1421,276,647
"Jefe o Jefa (013)",10131,1797,10,4469,2258,291,816,97,393
"Esposa(o)/ compa¤era(o) (014)",1141,181,2,420,336,58,88,11,45
"Hijo(a)/ hijastro(a) (015)",12753,1600,663,5377,4189,412,312,112,88
"Yerno/ nuera (016)",358,23,1,67,154,33,52,7,21
"Nieto(a) (017)",1080,248,97,478,223,19,5,4,6
"Padres/ suegros (018)",234,92,1,119,14,,5,1,2
"Otro(a) pariente (019)",1499,269,45,487,455,102,75,25,41
"Trabajador(a) del hogar (020)",12,2,,4,2,,3,,1
"Pensionista (021)",77,,,12,21,14,12,7,11
"Otro(a) no pariente (022)",374,37,3,53,131,46,53,12,39
"Mujeres (024)",28276,8526,871,11015,5554,669,1062,181,398
"Jefe o Jefa (025)",4579,2228,9,1358,546,87,222,34,95
"Esposa(o)/ compa¤era(o) (026)",8389,3272,14,3130,1203,139,431,50,150
"Hijo(a)/ hijastro(a) (027)",11626,1757,710,5296,3115,321,292,63,72
"Yerno/ nuera (028)",339,14,,110,146,32,23,4,10
"Nieto(a) (029)",987,233,91,465,177,10,9,1,1
"Padres/ suegros (030)",717,592,,111,8,2,1,2,1
"Otro(a) pariente (031)",1337,379,44,488,274,51,49,15,37
"Trabajador(a) del hogar (032)",61,11,,20,26,2,1,,1
"Pensionista (033)",23,,,1,5,3,4,7,3
"Otro(a) no pariente (034)",218,40,3,36,54,22,30,5,28
,,,,,,,,,
"URBANA (036)",20499,2995,566,7058,5823,1005,1774,367,911
"Jefe o Jefa (037)",5379,722,5,1762,1346,249,763,108,424
"Esposa(o)/ compa¤era(o) (038)",3392,614,7,1154,831,148,403,57,178
"Hijo(a)/ hijastro(a) (039)",8310,1001,446,3114,2759,372,364,118,136
"Yerno/ nuera (040)",291,11,,42,117,35,51,9,26
"Nieto(a) (041)",667,170,62,274,133,11,9,4,4
"Padres/ suegros (042)",370,208,,131,19,2,5,3,2
"Otro(a) pariente (043)",1497,222,42,488,434,111,91,39,70
"Trabajador(a) del hogar (044)",62,11,,20,24,2,3,,2
"Pensionista (045)",69,,,11,11,14,11,13,9
