"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",3517,22,340,67,86,230,1211,104,165,1207,5,80
"Agric., ganadería, caza y silvicultura (001)",2127,,3,4,,,1211,1,1,907,,
"Explotación de minas y canteras (003)",36,,2,2,,,,23,,9,,
"Industrias manufactureras (004)",79,,,5,,,,69,5,,,
"Suministro de electricidad, gas y agua (005)",9,,,,,,,,1,8,,
"Construcción (006)",256,,9,4,,,,4,115,124,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",236,,,3,,190,,6,2,35,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",3,,,,,,,2,,1,,
"Comercio al por mayor (009)",7,,,,,5,,,2,,,
"Comercio al por menor (010)",226,,,3,,185,,4,,34,,
"Hoteles y restaurantes (011)",60,,,3,,34,,,,23,,
"Trans., almac. y comunicaciones (012)",62,1,,2,13,,,1,32,13,,
"Intermediación financiera (013)",3,,,,2,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",30,,12,7,3,3,,,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",131,18,16,8,51,,,,3,30,5,
"Enseñanza (016)",283,3,267,2,2,,,,3,6,,
"Servicios sociales y de salud (017)",64,,28,21,7,,,,,8,,
"Otras activ. serv.comun.soc y personales (018)",22,,1,5,2,3,,,,11,,
"Hogares privados con servicio doméstico (019)",29,,,,,,,,,29,,
"Actividad economica no especificada (021)",90,,2,1,6,,,,1,,,80
"Hombres (022)",2155,19,202,46,57,62,805,87,157,681,5,34
"Agric., ganadería, caza y silvicultura (023)",1301,,2,4,,,805,1,1,488,,
"Explotación de minas y canteras (025)",36,,2,2,,,,23,,9,,
"Industrias manufactureras (026)",60,,,3,,,,54,3,,,
"Suministro de electricidad, gas y agua (027)",8,,,,,,,,1,7,,
"Construcción (028)",234,,9,4,,,,4,109,108,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",75,,,1,,52,,5,2,15,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",3,,,,,,,2,,1,,
"Comercio al por mayor (031)",3,,,,,1,,,2,,,
"Comercio al por menor (032)",69,,,1,,51,,3,,14,,
"Hoteles y restaurantes (033)",8,,,1,,4,,,,3,,
"Trans., almac. y comunicaciones (034)",51,1,,1,9,,,,32,8,,
"Intermediación financiera (035)",2,,,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",25,,11,6,1,3,,,2,2,,
