"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia OXAPAMPA",,,,,
"Viviendas particulares (001)",241,85,15,24,117
"Ocupantes presentes (002)",890,274,53,93,470
"Casa independiente",,,,,
"Viviendas particulares (004)",166,35,9,17,105
"Ocupantes presentes (005)",655,121,37,75,422
"Departamento en edificio",,,,,
"Viviendas particulares (007)",30,28,,2,
"Ocupantes presentes (008)",91,82,,9,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",24,17,,4,3
"Ocupantes presentes (011)",72,52,,8,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",9,,3,1,5
"Ocupantes presentes (014)",29,,6,1,22
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",11,4,3,,4
"Ocupantes presentes (020)",39,15,10,,14
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,1,,,
"Ocupantes presentes (023)",4,4,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",221,68,15,22,116
"Ocupantes presentes (029)",823,221,53,84,465
"Casa independiente",,,,,
"Viviendas particulares (031)",146,18,9,15,104
"Ocupantes presentes (032)",588,68,37,66,417
"Departamento en edificio",,,,,
"Viviendas particulares (034)",30,28,,2,
"Ocupantes presentes (035)",91,82,,9,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",24,17,,4,3
"Ocupantes presentes (038)",72,52,,8,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",9,,3,1,5
"Ocupantes presentes (041)",29,,6,1,22
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",11,4,3,,4
"Ocupantes presentes (047)",39,15,10,,14
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,1,,,
"Ocupantes presentes (050)",4,4,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",20,17,,2,1
"Ocupantes presentes (056)",67,53,,9,5
"Casa independiente",,,,,
"Viviendas particulares (058)",20,17,,2,1
"Ocupantes presentes (059)",67,53,,9,5
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
