"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",12700,339,6369,3310,926,288,138,33,6,,1291
"Conviviente (001)",6325,207,3436,1549,375,116,48,11,2,,581
"Separado(a) (002)",570,12,272,176,46,10,8,2,,,44
"Casado(a) (003)",4121,76,1981,1194,387,121,62,14,2,,284
"Viudo(a) (004)",735,23,348,196,49,12,15,3,2,,87
"Divorciado(a) (005)",68,2,22,25,10,6,,,,,3
"Soltero(a) (006)",881,19,310,170,59,23,5,3,,,292
,,,,,,,,,,,
"URBANA (008)",8380,175,3806,2341,748,237,115,28,4,,926
"Conviviente (009)",3752,102,1880,978,281,87,39,8,2,,375
"Separado(a) (010)",453,8,204,149,41,10,7,2,,,32
"Casado(a) (011)",2842,39,1205,898,327,108,52,12,1,,200
"Viudo(a) (012)",535,14,249,144,39,10,13,3,1,,62
"Divorciado(a) (013)",59,2,19,23,8,4,,,,,3
"Soltero(a) (014)",739,10,249,149,52,18,4,3,,,254
,,,,,,,,,,,
"RURAL (016)",4320,164,2563,969,178,51,23,5,2,,365
"Conviviente (017)",2573,105,1556,571,94,29,9,3,,,206
"Separado(a) (018)",117,4,68,27,5,,1,,,,12
"Casado(a) (019)",1279,37,776,296,60,13,10,2,1,,84
"Viudo(a) (020)",200,9,99,52,10,2,2,,1,,25
"Divorciado(a) (021)",9,,3,2,2,2,,,,,
"Soltero(a) (022)",142,9,61,21,7,5,1,,,,38
