"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia UCAYALI (000)",55783,17252,5696,1181,31712
"Quechua (001)",101,11,8,6,80
"Aymara (002)",15,9,,1,6
"Asháninka (003)",24,3,,1,20
"Otra lengua nativa (004)",5748,2495,651,95,2516
"Castellano (005)",49835,14715,5034,1075,29055
"Idioma Extranjero (006)",5,1,,,4
"Es Sordomudo/a (007)",55,18,3,3,31
"Hombres (009)",29446,8305,2838,672,17662
"Quechua (010)",58,5,5,4,46
"Aymara (011)",9,6,,1,3
"Asháninka (012)",14,1,,1,12
"Otra lengua nativa (013)",2964,1174,341,51,1402
"Castellano (014)",26365,7109,2490,614,16176
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",34,10,2,1,21
"Mujeres (018)",26337,8947,2858,509,14050
"Quechua (019)",43,6,3,2,34
"Aymara (020)",6,3,,,3
"Asháninka (021)",10,2,,,8
"Otra lengua nativa (022)",2784,1321,310,44,1114
"Castellano (023)",23470,7606,2544,461,12879
"Idioma Extranjero (024)",3,1,,,2
"Es Sordomudo/a (025)",21,8,1,2,10
,,,,,
"URBANA (027)",30917,9878,4173,960,15942
"Quechua (028)",46,2,6,2,36
"Aymara (029)",7,5,,1,2
"Asháninka (030)",5,2,,1,2
"Otra lengua nativa (031)",924,476,65,59,325
"Castellano (032)",29902,9383,4099,895,15559
"Idioma Extranjero (033)",5,1,,,4
"Es Sordomudo/a (034)",28,9,3,2,14
"Hombres (036)",16129,4617,2062,556,8915
"Quechua (037)",27,,4,2,21
"Aymara (038)",5,4,,1,1
"Asháninka (039)",3,1,,1,1
"Otra lengua nativa (040)",474,223,35,29,187
"Castellano (041)",15603,4385,2021,522,8695
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",15,4,2,1,8
"Mujeres (045)",14788,5261,2111,404,7027
"Quechua (046)",19,2,2,,15
"Aymara (047)",2,1,,,1
"Asháninka (048)",2,1,,,1
"Otra lengua nativa (049)",450,253,30,30,138
"Castellano (050)",14299,4998,2078,373,6864
"Idioma Extranjero (051)",3,1,,,2
"Es Sordomudo/a (052)",13,5,1,1,6
,,,,,
"RURAL (054)",24866,7374,1523,221,15770
"Quechua (055)",55,9,2,4,44
"Aymara (056)",8,4,,,4
"Asháninka (057)",19,1,,,18
"Otra lengua nativa (058)",4824,2019,586,36,2191
"Castellano (059)",19933,5332,935,180,13496
"Es Sordomudo/a (061)",27,9,,1,17
"Hombres (063)",13317,3688,776,116,8747
"Quechua (064)",31,5,1,2,25
"Aymara (065)",4,2,,,2
"Asháninka (066)",11,,,,11
"Otra lengua nativa (067)",2490,951,306,22,1215
"Castellano (068)",10762,2724,469,92,7481
"Es Sordomudo/a (070)",19,6,,,13
"Mujeres (072)",11549,3686,747,105,7023
"Quechua (073)",24,4,1,2,19
"Aymara (074)",4,2,,,2
"Asháninka (075)",8,1,,,7
"Otra lengua nativa (076)",2334,1068,280,14,976
"Castellano (077)",9171,2608,466,88,6015
"Es Sordomudo/a (079)",8,3,,1,4
