"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANDAHUAYLAS (000)",42292,32977,4146,2283,2886
"Agric., ganadería, caza y silvicultura (001)",23942,21282,2130,459,71
"Pesca (002)",10,10,,,
"Explotación de minas y canteras (003)",65,23,21,7,14
"Industrias manufactureras (004)",1437,1223,112,31,71
"Suministro de electricidad, gas y agua (005)",33,9,1,15,8
"Construcción (006)",1222,723,310,154,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4564,4283,219,55,7
"Venta, mant.y rep. veh.autom y motoc. (008)",350,300,42,6,2
"Comercio al por mayor (009)",140,103,17,15,5
"Comercio al por menor (010)",4074,3880,160,34,
"Hoteles y restaurantes (011)",1155,1019,92,31,13
"Trans., almac. y comunicaciones (012)",1646,1420,96,74,56
"Intermediación financiera (013)",91,12,21,42,16
"Activid.inmobil., empres. y alquileres (014)",572,329,84,94,65
"Admin.pub. y defensa; p. segur soc.afil (015)",1283,,,,1283
"Enseñanza (016)",3010,577,818,1118,497
"Servicios sociales y de salud (017)",991,220,49,58,664
"Otras activ. serv.comun.soc y personales (018)",498,332,76,64,26
"Hogares privados con servicio doméstico (019)",636,636,,,
"Organiz. y organos extraterritoriales (020)",1,,,,1
"Actividad economica no especificada (021)",1136,879,117,81,59
"Hombres (022)",28173,21879,3097,1380,1817
"Agric., ganadería, caza y silvicultura (023)",17947,15806,1738,347,56
"Pesca (024)",8,8,,,
"Explotación de minas y canteras (025)",61,22,21,4,14
"Industrias manufactureras (026)",1115,945,83,21,66
"Suministro de electricidad, gas y agua (027)",27,8,1,11,7
"Construcción (028)",1166,702,301,128,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1846,1677,129,36,4
"Venta, mant.y rep. veh.autom y motoc. (030)",321,276,38,5,2
"Comercio al por mayor (031)",79,54,12,11,2
"Comercio al por menor (032)",1446,1347,79,20,
"Hoteles y restaurantes (033)",280,230,35,11,4
"Trans., almac. y comunicaciones (034)",1522,1324,85,62,51
"Intermediación financiera (035)",54,5,13,23,13
"Activid.inmobil., empres. y alquileres (036)",416,240,66,70,40
"Admin.pub. y defensa; p. segur soc.afil (037)",947,,,,947
"Enseñanza (038)",1604,265,481,566,292
"Servicios sociales y de salud (039)",345,65,16,24,240
