"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN MARCOS (000)",13821,90,286,796,1546,2749,4601,3753
"De 12 a 14 años (001)",39,,,,,,3,36
"De 15 a 19 años (002)",506,,,,,,258,248
"De 20 a 24 años (003)",1501,,,,,8,853,640
"De 25 a 29 años (004)",1694,,,,,120,1012,562
"De 30 a 34 años (005)",1651,,,,,297,975,379
"De 35 a 39 años (006)",1600,,,,13,482,772,333
"De 40 a 44 años (007)",1317,,,,74,535,462,246
"De 45 a 49 años (008)",1138,,,2,168,524,228,216
"De 50 y más años (009)",4375,90,286,794,1291,783,38,1093
"PEA (010)",2372,3,20,81,199,468,751,850
"De 12 a 14 años (011)",7,,,,,,,7
"De 15 a 19 años (012)",71,,,,,,30,41
"De 20 a 24 años (013)",261,,,,,1,123,137
"De 25 a 29 años (014)",304,,,,,17,128,159
"De 30 a 34 años (015)",342,,,,,49,190,103
"De 35 a 39 años (016)",363,,,,,101,154,108
"De 40 a 44 años (017)",287,,,,19,103,78,87
"De 45 a 49 años (018)",227,,,1,32,91,45,58
"De 50 y más años (019)",510,3,20,80,148,106,3,150
"Ocupada (020)",2303,3,20,81,194,457,737,811
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",67,,,,,,29,38
"De 20 a 24 años (023)",244,,,,,1,118,125
"De 25 a 29 años (024)",295,,,,,16,125,154
"De 30 a 34 años (025)",330,,,,,46,187,97
"De 35 a 39 años (026)",358,,,,,100,154,104
"De 40 a 44 años (027)",279,,,,19,102,76,82
"De 45 a 49 años (028)",223,,,1,31,89,45,57
"De 50 y más años (029)",502,3,20,80,144,103,3,149
"Desocupada (030)",69,,,,5,11,14,39
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",4,,,,,,1,3
"De 20 a 24 años (033)",17,,,,,,5,12
"De 25 a 29 años (034)",9,,,,,1,3,5
"De 30 a 34 años (035)",12,,,,,3,3,6
"De 35 a 39 años (036)",5,,,,,1,,4
"De 40 a 44 años (037)",8,,,,,1,2,5
"De 45 a 49 años (038)",4,,,,1,2,,1
"De 50 y más años (039)",8,,,,4,3,,1
"No PEA (040)",11449,87,266,715,1347,2281,3850,2903
"De 12 a 14 años (041)",32,,,,,,3,29
"De 15 a 19 años (042)",435,,,,,,228,207
"De 20 a 24 años (043)",1240,,,,,7,730,503
"De 25 a 29 años (044)",1390,,,,,103,884,403
"De 30 a 34 años (045)",1309,,,,,248,785,276
"De 35 a 39 años (046)",1237,,,,13,381,618,225
"De 40 a 44 años (047)",1030,,,,55,432,384,159
