"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARCOS (000)",18955,18111,5134,2480,2526,1885,2604,1746,1049,687,844,52493
"De 12 a 14 años (001)",1922,1899,1883,10,6,,,,,,23,22
"De 15 a 19 años (002)",2523,2413,2017,339,46,7,4,,,,110,468
"De 20 a 24 años (003)",2039,1792,538,739,377,96,35,7,,,247,1974
"De 25 a 29 años (004)",1851,1678,157,526,534,301,140,14,6,,173,3222
"De 30 a 34 años (005)",1744,1657,93,294,513,377,292,72,14,2,87,4310
"De 35 a 39 años (006)",1661,1590,61,175,380,341,415,154,54,10,71,5331
"De 40 a 44 años (007)",1370,1322,53,94,201,242,381,234,86,31,48,5461
"De 45 a 49 años (008)",1193,1174,55,71,141,149,332,241,132,53,19,5520
"De 50 y más años (009)",4652,4586,277,232,328,372,1005,1024,757,591,66,26185
"PEA (010)",3199,2935,827,520,519,342,376,190,103,58,264,6970
"De 12 a 14 años (011)",131,127,124,1,2,,,,,,4,5
"De 15 a 19 años (012)",420,401,349,42,7,3,,,,,19,65
"De 20 a 24 años (013)",418,348,157,121,52,15,1,2,,,70,286
"De 25 a 29 años (014)",372,302,68,110,77,30,15,1,1,,70,430
"De 30 a 34 años (015)",376,339,34,76,104,60,44,17,4,,37,796
"De 35 a 39 años (016)",378,349,15,71,94,65,84,13,7,,29,964
"De 40 a 44 años (017)",307,287,20,30,77,59,59,29,8,5,20,929
"De 45 a 49 años (018)",243,238,16,25,48,37,56,31,20,5,5,900
"De 50 y más años (019)",554,544,44,44,58,73,117,97,63,48,10,2595
"Ocupada (020)",3007,2771,704,503,508,340,373,187,100,56,236,6843
"De 12 a 14 años (021)",111,109,106,1,2,,,,,,2,5
"De 15 a 19 años (022)",354,336,287,39,7,3,,,,,18,62
