"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",70368,16285,2031,34265,15054,648,1009,297,779
"Quechua (001)",64087,15300,1711,31917,13273,505,707,198,476
"Aymara (002)",102,17,4,45,22,,8,,6
"Ashaninca (003)",9,,,7,2,,,,
"Otra lengua nativa (004)",1,,,,,,,1,
"Castellano (005)",6063,918,315,2268,1745,142,285,97,293
"Idioma extranjero (006)",2,1,,,,,,,1
"Es sordomudo/a (007)",104,49,1,28,12,1,9,1,3
"Hombres (009)",35491,5217,1018,18065,9418,423,649,214,487
"Quechua (010)",32003,4677,848,16834,8374,340,465,148,317
"Aymara (011)",54,6,2,19,15,,7,,5
"Ashaninca (012)",3,,,2,1,,,,
"Otra lengua nativa (013)",1,,,,,,,1,
"Castellano (014)",3368,507,168,1189,1022,83,173,64,162
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",61,27,,21,6,,4,1,2
"Mujeres (018)",34877,11068,1013,16200,5636,225,360,83,292
"Quechua (019)",32084,10623,863,15083,4899,165,242,50,159
"Aymara (020)",48,11,2,26,7,,1,,1
"Ashaninca (021)",6,,,5,1,,,,
"Castellano (023)",2695,411,147,1079,723,59,112,33,131
"Idioma extranjero (024)",1,1,,,,,,,
"Es sordomudo/a (025)",43,22,1,7,6,1,5,,1
,,,,,,,,,
"URBANA (027)",16359,2464,517,6408,4941,388,787,213,641
"Quechua (028)",11678,1820,254,4714,3583,275,530,130,372
"Aymara (029)",43,4,,17,11,,6,,5
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",1,,,,,,,1,
"Castellano (032)",4602,629,262,1673,1341,113,243,81,260
"Idioma extranjero (033)",2,1,,,,,,,1
"Es sordomudo/a (034)",31,10,1,2,6,,8,1,3
"Hombres (036)",8247,786,257,3096,2830,237,495,147,399
"Quechua (037)",5736,444,120,2256,2065,172,338,93,248
"Aymara (038)",25,,,8,8,,5,,4
"Otra lengua nativa (040)",1,,,,,,,1,
"Castellano (041)",2471,338,137,831,755,65,149,52,144
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",13,4,,1,2,,3,1,2
"Mujeres (045)",8112,1678,260,3312,2111,151,292,66,242
"Quechua (046)",5942,1376,134,2458,1518,103,192,37,124
"Aymara (047)",18,4,,9,3,,1,,1
"Ashaninca (048)",2,,,2,,,,,
"Castellano (050)",2131,291,125,842,586,48,94,29,116
"Idioma extranjero (051)",1,1,,,,,,,
"Es sordomudo/a (052)",18,6,1,1,4,,5,,1
,,,,,,,,,
"RURAL (054)",54009,13821,1514,27857,10113,260,222,84,138
"Quechua (055)",52409,13480,1457,27203,9690,230,177,68,104
"Aymara (056)",59,13,4,28,11,,2,,1
"Ashaninca (057)",7,,,5,2,,,,
"Castellano (059)",1461,289,53,595,404,29,42,16,33
"Es sordomudo/a (061)",73,39,,26,6,1,1,,
"Hombres (063)",27244,4431,761,14969,6588,186,154,67,88
"Quechua (064)",26267,4233,728,14578,6309,168,127,55,69
"Aymara (065)",29,6,2,11,7,,2,,1
"Ashaninca (066)",3,,,2,1,,,,
"Castellano (068)",897,169,31,358,267,18,24,12,18
"Es sordomudo/a (070)",48,23,,20,4,,1,,
"Mujeres (072)",26765,9390,753,12888,3525,74,68,17,50
"Quechua (073)",26142,9247,729,12625,3381,62,50,13,35
"Aymara (074)",30,7,2,17,4,,,,
"Ashaninca (075)",4,,,3,1,,,,
"Castellano (077)",564,120,22,237,137,11,18,4,15
"Es sordomudo/a (079)",25,16,,6,2,1,,,
