"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TALARA (000)",119046,8610,3617,36087,40900,6963,11241,4630,6998
"Jefe o Jefa (001)",30891,922,11,8681,11402,1918,4032,1150,2775
"Esposa(o)/ compa¤era(o) (002)",20592,611,11,6556,7307,1257,2763,610,1477
"Hijo(a)/ hijastro(a) (003)",48455,4850,2685,15098,16012,2685,3080,2196,1849
"Yerno/ nuera (004)",2789,25,3,408,1300,298,391,139,225
"Nieto(a) (005)",6651,1354,706,2424,1520,197,184,175,91
"Padres/ suegros (006)",996,232,,532,152,12,26,13,29
"Otro(a) pariente (007)",6732,537,174,1952,2457,439,575,214,384
"Trabajador(a) del hogar (008)",147,8,,60,70,6,2,1,
"Pensionista (009)",290,6,1,51,106,27,43,25,31
"Otro(a) no pariente (010)",1503,65,26,325,574,124,145,107,137
"Hombres (012)",59212,4042,1823,16594,21809,3492,5314,2471,3667
"Jefe o Jefa (013)",23188,458,7,5760,9212,1520,3065,961,2205
"Esposa(o)/ compa¤era(o) (014)",1172,29,,255,530,90,124,52,92
"Hijo(a)/ hijastro(a) (015)",25024,2510,1342,7756,8729,1323,1403,1103,858
"Yerno/ nuera (016)",1351,12,1,152,635,145,202,63,141
"Nieto(a) (017)",3487,698,369,1256,814,100,95,101,54
"Padres/ suegros (018)",316,37,,176,64,9,8,8,14
"Otro(a) pariente (019)",3707,260,96,1044,1453,226,310,120,198
"Trabajador(a) del hogar (020)",13,,,8,2,2,,1,
"Pensionista (021)",190,3,1,30,68,22,32,17,17
"Otro(a) no pariente (022)",764,35,7,157,302,55,75,45,88
"Mujeres (024)",59834,4568,1794,19493,19091,3471,5927,2159,3331
"Jefe o Jefa (025)",7703,464,4,2921,2190,398,967,189,570
"Esposa(o)/ compa¤era(o) (026)",19420,582,11,6301,6777,1167,2639,558,1385
"Hijo(a)/ hijastro(a) (027)",23431,2340,1343,7342,7283,1362,1677,1093,991
"Yerno/ nuera (028)",1438,13,2,256,665,153,189,76,84
"Nieto(a) (029)",3164,656,337,1168,706,97,89,74,37
"Padres/ suegros (030)",680,195,,356,88,3,18,5,15
"Otro(a) pariente (031)",3025,277,78,908,1004,213,265,94,186
"Trabajador(a) del hogar (032)",134,8,,52,68,4,2,,
"Pensionista (033)",100,3,,21,38,5,11,8,14
"Otro(a) no pariente (034)",739,30,19,168,272,69,70,62,49
,,,,,,,,,
"URBANA (036)",117017,8400,3563,34988,40432,6924,11189,4601,6920
"Jefe o Jefa (037)",30295,885,11,8371,11233,1906,4014,1140,2735
"Esposa(o)/ compa¤era(o) (038)",20220,591,11,6312,7251,1249,2746,605,1455
"Hijo(a)/ hijastro(a) (039)",47707,4728,2637,14696,15863,2675,3074,2189,1845
"Yerno/ nuera (040)",2752,24,3,391,1286,298,390,138,222
"Nieto(a) (041)",6611,1345,701,2402,1516,197,184,175,91
"Padres/ suegros (042)",980,228,,522,151,12,26,13,28
"Otro(a) pariente (043)",6573,520,173,1878,2406,435,569,212,380
