"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia DOS DE MAYO (000)",46797,932,18370,11466,7315,5814,2900
"Casa independiente (001)",40611,801,15733,10110,6414,5040,2513
"Vivienda en quinta (003)",87,,17,29,23,10,8
"Vivienda en casa de vecindad (004)",131,1,41,35,29,17,8
"Choza o cabaña (005)",5878,128,2556,1255,832,738,369
"Vivienda improvisada (006)",21,1,8,4,4,3,1
"Local no destinado para hab.humana (007)",65,,15,32,12,5,1
"Otro tipo (008)",4,1,,1,1,1,
,,,,,,,
"URBANA (009)",16222,303,5889,4116,2868,2036,1010
"Casa independiente (010)",15942,300,5813,4027,2805,2005,992
"Vivienda en quinta (012)",87,,17,29,23,10,8
"Vivienda en casa de vecindad (013)",131,1,41,35,29,17,8
"Vivienda improvisada (015)",21,1,8,4,4,3,1
"Local no destinado para hab.humana (016)",38,,10,20,6,1,1
"Otro tipo (017)",3,1,,1,1,,
,,,,,,,
"RURAL (018)",30575,629,12481,7350,4447,3778,1890
"Casa independiente (019)",24669,501,9920,6083,3609,3035,1521
"Choza o cabaña (023)",5878,128,2556,1255,832,738,369
"Local no destinado para hab.humana (025)",27,,5,12,6,4,
"Otro tipo (026)",1,,,,,1,
