"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAN CHIMU (000)",10214,8073,526,448,1167
"Agric., ganadería, caza y silvicultura (001)",6398,6092,205,86,15
"Explotación de minas y canteras (003)",1205,117,50,148,890
"Industrias manufactureras (004)",170,143,11,3,13
"Suministro de electricidad, gas y agua (005)",13,3,,10,
"Construcción (006)",236,162,43,22,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",551,525,22,3,1
"Venta, mant.y rep. veh.autom y motoc. (008)",28,28,,,
"Comercio al por mayor (009)",35,29,5,,1
"Comercio al por menor (010)",488,468,17,3,
"Hoteles y restaurantes (011)",189,166,11,3,9
"Trans., almac. y comunicaciones (012)",175,137,10,13,15
"Intermediación financiera (013)",2,2,,,
"Activid.inmobil., empres. y alquileres (014)",56,21,4,13,18
"Admin.pub. y defensa; p. segur soc.afil (015)",122,,,,122
"Enseñanza (016)",487,182,142,132,31
"Servicios sociales y de salud (017)",70,26,8,,36
"Otras activ. serv.comun.soc y personales (018)",86,65,13,4,4
"Hogares privados con servicio doméstico (019)",209,209,,,
"Actividad economica no especificada (021)",245,223,7,11,4
"Hombres (022)",8757,6936,419,364,1038
"Agric., ganadería, caza y silvicultura (023)",6232,5937,198,83,14
"Explotación de minas y canteras (025)",1142,114,48,145,835
"Industrias manufactureras (026)",118,93,10,3,12
"Suministro de electricidad, gas y agua (027)",12,3,,9,
"Construcción (028)",234,161,42,22,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",292,269,19,3,1
"Venta, mant.y rep. veh.autom y motoc. (030)",25,25,,,
"Comercio al por mayor (031)",26,20,5,,1
"Comercio al por menor (032)",241,224,14,3,
"Hoteles y restaurantes (033)",49,35,4,3,7
"Trans., almac. y comunicaciones (034)",169,131,10,13,15
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",45,17,2,10,16
"Admin.pub. y defensa; p. segur soc.afil (037)",91,,,,91
"Enseñanza (038)",210,64,70,61,15
"Servicios sociales y de salud (039)",30,11,4,,15
"Otras activ. serv.comun.soc y personales (040)",50,32,10,4,4
"Hogares privados con servicio doméstico (041)",12,12,,,
"Actividad economica no especificada (043)",70,56,2,8,4
"Mujeres (044)",1457,1137,107,84,129
