"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHINCHA (000)",170218,3852,2315,52538,70765,10920,14885,5972,8971
"Hombres (001)",83733,1034,1171,23313,37421,5530,7306,3210,4748
"Mujeres (002)",86485,2818,1144,29225,33344,5390,7579,2762,4223
"PEA (003)",78464,961,53,12816,36933,6316,11317,3127,6941
"Hombres (004)",50843,377,35,7390,26184,4106,6539,2099,4113
"Mujeres (005)",27621,584,18,5426,10749,2210,4778,1028,2828
"Ocupada (006)",75318,908,51,12324,35397,6056,10878,3008,6696
"Hombres (007)",48861,338,35,7062,25167,3949,6317,2026,3967
"Mujeres (008)",26457,570,16,5262,10230,2107,4561,982,2729
"Desocupada (009)",3146,53,2,492,1536,260,439,119,245
"Hombres (010)",1982,39,,328,1017,157,222,73,146
"Mujeres (011)",1164,14,2,164,519,103,217,46,99
"No PEA (012)",91754,2891,2262,39722,33832,4604,3568,2845,2030
"Hombres (013)",32890,657,1136,15923,11237,1424,767,1111,635
"Mujeres (014)",58864,2234,1126,23799,22595,3180,2801,1734,1395
,,,,,,,,,
"URBANA (018)",151360,2929,2125,44887,63005,10061,13987,5751,8615
"Hombres (019)",74204,818,1074,19720,33061,5077,6816,3087,4551
"Mujeres (020)",77156,2111,1051,25167,29944,4984,7171,2664,4064
"PEA (021)",70408,656,49,10466,32900,5932,10691,3026,6688
"Hombres (022)",45136,288,31,5868,23066,3818,6097,2025,3943
"Mujeres (023)",25272,368,18,4598,9834,2114,4594,1001,2745
"Ocupada (024)",67495,606,47,10025,31487,5684,10284,2909,6453
"Hombres (025)",43318,251,31,5581,22133,3672,5895,1953,3802
"Mujeres (026)",24177,355,16,4444,9354,2012,4389,956,2651
"Desocupada (027)",2913,50,2,441,1413,248,407,117,235
"Hombres (028)",1818,37,,287,933,146,202,72,141
"Mujeres (029)",1095,13,2,154,480,102,205,45,94
"No PEA (030)",80952,2273,2076,34421,30105,4129,3296,2725,1927
"Hombres (031)",29068,530,1043,13852,9995,1259,719,1062,608
"Mujeres (032)",51884,1743,1033,20569,20110,2870,2577,1663,1319
,,,,,,,,,
"RURAL (036)",18858,923,190,7651,7760,859,898,221,356
"Hombres (037)",9529,216,97,3593,4360,453,490,123,197
"Mujeres (038)",9329,707,93,4058,3400,406,408,98,159
"PEA (039)",8056,305,4,2350,4033,384,626,101,253
"Hombres (040)",5707,89,4,1522,3118,288,442,74,170
"Mujeres (041)",2349,216,,828,915,96,184,27,83
"Ocupada (042)",7823,302,4,2299,3910,372,594,99,243
"Hombres (043)",5543,87,4,1481,3034,277,422,73,165
"Mujeres (044)",2280,215,,818,876,95,172,26,78
"Desocupada (045)",233,3,,51,123,12,32,2,10
"Hombres (046)",164,2,,41,84,11,20,1,5
"Mujeres (047)",69,1,,10,39,1,12,1,5
"No PEA (048)",10802,618,186,5301,3727,475,272,120,103
"Hombres (049)",3822,127,93,2071,1242,165,48,49,27
"Mujeres (050)",6980,491,93,3230,2485,310,224,71,76
