"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHURCAMPA (000)",11107,51,170,578,1039,2089,4479,2701
"De 12 a 14 años (001)",14,,,,,,,14
"De 15 a 19 años (002)",404,,,,,,274,130
"De 20 a 24 años (003)",1268,,,,,,805,463
"De 25 a 29 años (004)",1302,,,,,41,911,350
"De 30 a 34 años (005)",1247,,,,1,180,825,241
"De 35 a 39 años (006)",1231,,,,6,294,734,197
"De 40 a 44 años (007)",1095,,,1,17,379,540,158
"De 45 a 49 años (008)",984,,,2,88,442,317,135
"De 50 y más años (009)",3562,51,170,575,927,753,73,1013
"Sin nivel (010)",4479,41,136,427,685,902,1129,1159
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",29,,,,,,18,11
"De 20 a 24 años (013)",108,,,,,,78,30
"De 25 a 29 años (014)",176,,,,,7,132,37
"De 30 a 34 años (015)",265,,,,1,27,189,48
"De 35 a 39 años (016)",364,,,,1,59,246,58
"De 40 a 44 años (017)",433,,,1,3,120,240,69
"De 45 a 49 años (018)",485,,,,40,196,181,68
"De 50 y más años (019)",2618,41,136,426,640,493,45,837
"Educacion Inicial (020)",28,,,,,4,16,8
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",9,,,,,,4,5
"De 25 a 29 años (024)",3,,,,,,1,2
"De 30 a 34 años (025)",12,,,,,3,8,1
"De 35 a 39 años (026)",3,,,,,1,2,
"Primaria (030)",4375,10,30,129,285,896,2223,802
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",180,,,,,,116,64
"De 20 a 24 años (033)",584,,,,,,413,171
"De 25 a 29 años (034)",666,,,,,22,515,129
"De 30 a 34 años (035)",632,,,,,103,436,93
"De 35 a 39 años (036)",601,,,,3,163,358,77
"De 40 a 44 años (037)",509,,,,12,189,244,64
"De 45 a 49 años (038)",383,,,,31,193,114,45
"De 50 y más años (039)",812,10,30,129,239,226,27,151
"Secundaria (040)",1639,,3,16,55,193,853,519
"De 12 a 14 años (041)",5,,,,,,,5
"De 15 a 19 años (042)",187,,,,,,134,53
"De 20 a 24 años (043)",482,,,,,,288,194
"De 25 a 29 años (044)",336,,,,,10,195,131
"De 30 a 34 años (045)",196,,,,,32,110,54
"De 35 a 39 años (046)",145,,,,1,40,72,32
"De 40 a 44 años (047)",104,,,,1,46,37,20
"De 45 a 49 años (048)",82,,,2,11,39,16,14
"De 50 y más años (049)",102,,3,14,42,26,1,16
"Sup. no Univ. incompleta (050)",128,,1,1,3,15,53,55
"De 15 a 19 años (052)",5,,,,,,3,2
