"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAZ (000)",187,181,6
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",127,126,1
"Casa pensión (003)",10,10,
"Hospital, clinica (004)",9,9,
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",3,3,
"Otro (008)",27,24,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",9,7,2
