"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAUYOS (000)",12764,8919,903,525,2417
"Sin nivel (001)",471,459,10,,2
"Educación inicial (002)",1,1,,,
"Primaria (003)",3625,3305,155,19,146
"Secundaria (004)",5180,3763,287,132,998
"Superior no univ. incompleta (005)",806,410,58,43,295
"Superior no univ. completa (006)",1173,450,132,130,461
"Superior univ. incompleta (007)",370,162,42,30,136
"Superior univ. completa (008)",1138,369,219,171,379
"De 06 a 14 años (010)",155,140,13,2,
"Sin nivel (011)",4,4,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",99,90,8,1,
"Secundaria (014)",51,45,5,1,
"De 15 a 29 años (020)",3255,2032,281,170,772
"Sin nivel (021)",30,29,1,,
"Primaria (023)",340,295,20,,25
"Secundaria (024)",1818,1267,126,54,371
"Superior no univ. incompleta (025)",296,164,27,14,91
"Superior no univ. completa (026)",459,174,47,56,182
"Superior univ. incompleta (027)",109,47,15,11,36
"Superior univ. completa (028)",203,56,45,35,67
"De 30 a 44 años (030)",4363,2596,377,248,1142
"Sin nivel (031)",115,110,4,,1
"Primaria (033)",790,671,50,6,63
"Secundaria (034)",1941,1295,100,58,488
"Superior no univ. incompleta (035)",323,140,23,18,142
"Superior no univ. completa (036)",475,168,61,58,188
"Superior univ. incompleta (037)",163,63,22,12,66
"Superior univ. completa (038)",556,149,117,96,194
"De 45 a 64 años (040)",3317,2556,188,96,477
"Sin nivel (041)",142,138,3,,1
"Primaria (043)",1251,1145,45,9,52
"Secundaria (044)",1137,935,51,18,133
"Superior no univ. incompleta (045)",166,90,8,10,58
"Superior no univ. completa (046)",206,79,21,16,90
"Superior univ. incompleta (047)",86,45,4,6,31
"Superior univ. completa (048)",329,124,56,37,112
"De 65 y más años (050)",1674,1595,44,9,26
"Sin nivel (051)",180,178,2,,
"Primaria (053)",1145,1104,32,3,6
"Secundaria (054)",233,221,5,1,6
"Superior no univ. incompleta (055)",21,16,,1,4
"Superior no univ. completa (056)",33,29,3,,1
"Superior univ. incompleta (057)",12,7,1,1,3
"Superior univ. completa (058)",50,40,1,3,6
,,,,,
"URBANA (060)",6618,5024,586,291,717
"Sin nivel (061)",179,171,7,,1
"Educación inicial (062)",1,1,,,
