"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",32083,344,12528,11029,3223,1080,451,184,29,,3215
"Sin Nivel (001)",17227,224,6699,5983,1752,627,297,127,21,,1497
"Educación Inicial (002)",79,1,31,31,5,1,1,,,,9
"Primaria (003)",10677,98,4605,3662,893,265,83,35,4,,1032
"Secundaria (004)",1674,12,698,514,135,40,16,7,1,,251
"Sup. no Univ. Incompleta (005)",397,,116,151,42,13,1,1,,,73
"Sup. no Univ. Completa (006)",1165,2,226,424,222,69,28,8,1,,185
"Sup. Univ. Incompleta (007)",262,2,70,80,29,12,5,,,,64
"Sup. Univ. Completa (008)",602,5,83,184,145,53,20,6,2,,104
,,,,,,,,,,,
"URBANA (010)",9461,96,3325,3108,1078,405,163,75,11,,1200
"Sin Nivel (011)",3069,46,1173,948,292,143,64,40,5,,358
"Educación Inicial (012)",16,,7,4,2,1,,,,,2
"Primaria (013)",2894,31,1185,1006,264,92,34,14,2,,266
"Secundaria (014)",1254,10,513,382,108,30,13,6,1,,191
"Sup. no Univ. Incompleta (015)",366,,109,139,41,13,1,1,,,62
"Sup. no Univ. Completa (016)",1050,2,200,384,204,64,26,8,1,,161
"Sup. Univ. Incompleta (017)",240,2,60,73,29,11,5,,,,60
"Sup. Univ. Completa (018)",572,5,78,172,138,51,20,6,2,,100
,,,,,,,,,,,
"RURAL (020)",22622,248,9203,7921,2145,675,288,109,18,,2015
"Sin Nivel (021)",14158,178,5526,5035,1460,484,233,87,16,,1139
"Educación Inicial (022)",63,1,24,27,3,,1,,,,7
"Primaria (023)",7783,67,3420,2656,629,173,49,21,2,,766
"Secundaria (024)",420,2,185,132,27,10,3,1,,,60
"Sup. no Univ. Incompleta (025)",31,,7,12,1,,,,,,11
"Sup. no Univ. Completa (026)",115,,26,40,18,5,2,,,,24
"Sup. Univ. Incompleta (027)",22,,10,7,,1,,,,,4
"Sup. Univ. Completa (028)",30,,5,12,7,2,,,,,4
