"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANDAHUAYLAS (000)",42292,32977,4146,2283,2886
"Empleado (001)",7437,2219,1215,1571,2432
"Obrero (002)",8875,6638,1310,505,422
"Trabajador independiente (003)",16566,15622,944,,
"Empleador o patrono (004)",756,545,161,41,9
"Trabajador familiar no remunerado (005)",8022,7317,516,166,23
"Trabajador del hogar (006)",636,636,,,
"De 06 a 14 años (008)",1332,1154,115,56,7
"Empleado (009)",74,60,7,5,2
"Obrero (010)",193,145,28,17,3
"Trabajador independiente (011)",137,129,8,,
"Trabajador familiar no remunerado (013)",894,786,72,34,2
"Trabajador del hogar (014)",34,34,,,
"De 15 a 29 años (016)",13513,10707,1506,628,672
"Empleado (017)",2266,1040,384,312,530
"Obrero (018)",3235,2356,535,213,131
"Trabajador independiente (019)",4446,4130,316,,
"Empleador o patrono (020)",207,136,53,16,2
"Trabajador familiar no remunerado (021)",2946,2632,218,87,9
"Trabajador del hogar (022)",413,413,,,
"De 30 a 44 años (024)",15439,11140,1653,1105,1541
"Empleado (025)",3646,798,633,888,1327
"Obrero (026)",3036,2215,449,173,199
"Trabajador independiente (027)",6203,5834,369,,
"Empleador o patrono (028)",305,209,72,17,7
"Trabajador familiar no remunerado (029)",2131,1966,130,27,8
"Trabajador del hogar (030)",118,118,,,
"De 45 a 64 años (032)",9575,7698,772,472,633
"Empleado (033)",1374,286,179,358,551
"Obrero (034)",2000,1569,261,92,78
"Trabajador independiente (035)",4406,4181,225,,
"Empleador o patrono (036)",195,156,31,8,
"Trabajador familiar no remunerado (037)",1542,1448,76,14,4
"Trabajador del hogar (038)",58,58,,,
"De 65 y más años (040)",2433,2278,100,22,33
"Empleado (041)",77,35,12,8,22
"Obrero (042)",411,353,37,10,11
"Trabajador independiente (043)",1374,1348,26,,
"Empleador o patrono (044)",49,44,5,,
"Trabajador familiar no remunerado (045)",509,485,20,4,
"Trabajador del hogar (046)",13,13,,,
,,,,,
"URBANA (048)",21984,15053,2456,1954,2521
"Empleado (049)",6808,1946,1137,1525,2200
"Obrero (050)",3521,2379,550,288,304
"Trabajador independiente (051)",8178,7665,513,,
"Empleador o patrono (052)",410,320,58,25,7
"Trabajador familiar no remunerado (053)",2550,2226,198,116,10
