"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MARAÑON (000)",13835,2264,4598,3548,3425
"Asiste actualmente (001)",9234,823,4320,3107,984
"No asiste (002)",4601,1441,278,441,2441
"Hombres (004)",7175,1126,2410,1868,1771
"Asiste actualmente (005)",4974,430,2259,1662,623
"No asiste (006)",2201,696,151,206,1148
"Mujeres (008)",6660,1138,2188,1680,1654
"Asiste actualmente (009)",4260,393,2061,1445,361
"No asiste (010)",2400,745,127,235,1293
,,,,,
"URBANA (012)",2007,255,662,562,528
"Asiste actualmente (013)",1551,145,629,522,255
"No asiste (014)",456,110,33,40,273
"Hombres (016)",1066,139,357,300,270
"Asiste actualmente (017)",845,76,340,280,149
"No asiste (018)",221,63,17,20,121
"Mujeres (020)",941,116,305,262,258
"Asiste actualmente (021)",706,69,289,242,106
"No asiste (022)",235,47,16,20,152
,,,,,
"RURAL (024)",11828,2009,3936,2986,2897
"Asiste actualmente (025)",7683,678,3691,2585,729
"No asiste (026)",4145,1331,245,401,2168
"Hombres (028)",6109,987,2053,1568,1501
"Asiste actualmente (029)",4129,354,1919,1382,474
"No asiste (030)",1980,633,134,186,1027
"Mujeres (032)",5719,1022,1883,1418,1396
"Asiste actualmente (033)",3554,324,1772,1203,255
"No asiste (034)",2165,698,111,215,1141
