"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia YAUYOS (000)",18217,17544,673
"Hombres (001)",10174,9972,202
"Mujeres (002)",8043,7572,471
"De 18 a 29 años (003)",4455,4273,182
"Hombres (004)",2619,2525,94
"Mujeres (005)",1836,1748,88
"De 30 a 44 años (006)",5712,5622,90
"Hombres (007)",3383,3356,27
"Mujeres (008)",2329,2266,63
"De 45 a 64 años (009)",4599,4522,77
"Hombres (010)",2516,2485,31
"Mujeres (011)",2083,2037,46
"De 65 y más años (012)",3451,3127,324
"Hombres (013)",1656,1606,50
"Mujeres (014)",1795,1521,274
,,,
"URBANA (015)",10150,9812,338
"Hombres (016)",5089,4991,98
"Mujeres (017)",5061,4821,240
"De 18 a 29 años (018)",2302,2221,81
"Hombres (019)",1189,1146,43
"Mujeres (020)",1113,1075,38
"De 30 a 44 años (021)",3079,3045,34
"Hombres (022)",1550,1542,8
"Mujeres (023)",1529,1503,26
"De 45 a 64 años (024)",2606,2575,31
"Hombres (025)",1339,1325,14
"Mujeres (026)",1267,1250,17
"De 65 y más años (027)",2163,1971,192
"Hombres (028)",1011,978,33
"Mujeres (029)",1152,993,159
,,,
"RURAL (030)",8067,7732,335
"Hombres (031)",5085,4981,104
"Mujeres (032)",2982,2751,231
"De 18 a 29 años (033)",2153,2052,101
"Hombres (034)",1430,1379,51
"Mujeres (035)",723,673,50
"De 30 a 44 años (036)",2633,2577,56
"Hombres (037)",1833,1814,19
"Mujeres (038)",800,763,37
"De 45 a 64 años (039)",1993,1947,46
"Hombres (040)",1177,1160,17
"Mujeres (041)",816,787,29
"De 65 y más años (042)",1288,1156,132
"Hombres (043)",645,628,17
"Mujeres (044)",643,528,115
