"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",85500,2330,38264,21886,6910,2676,1191,359,54,,11830
"Sin Nivel (001)",3205,253,1488,547,150,84,50,32,5,,596
"Educación Inicial (002)",115,5,47,14,8,2,,,,,39
"Primaria (003)",27997,1363,15386,5571,1361,673,466,183,22,,2972
"Secundaria (004)",36562,643,17830,9748,2241,782,325,74,13,,4906
"Sup. no Univ. Incompleta (005)",4538,22,1262,1678,491,161,41,9,1,,873
"Sup. no Univ. Completa (006)",6305,19,1195,2208,1254,429,128,36,4,,1032
"Sup. Univ. Incompleta (007)",2300,7,468,770,342,108,38,4,,,563
"Sup. Univ. Completa (008)",4478,18,588,1350,1063,437,143,21,9,,849
,,,,,,,,,,,
"URBANA (010)",74574,1476,32366,20176,6463,2461,1084,320,47,,10181
"Sin Nivel (011)",2078,123,954,408,98,49,33,20,3,,390
"Educación Inicial (012)",98,2,40,14,8,2,,,,,32
"Primaria (013)",21914,826,11963,4720,1118,563,390,158,18,,2158
"Secundaria (014)",33190,468,15973,9127,2138,733,319,73,12,,4347
"Sup. no Univ. Incompleta (015)",4409,16,1224,1642,478,157,40,9,1,,842
"Sup. no Univ. Completa (016)",6208,17,1175,2171,1236,424,126,35,4,,1020
"Sup. Univ. Incompleta (017)",2269,6,464,763,338,105,35,4,,,554
"Sup. Univ. Completa (018)",4408,18,573,1331,1049,428,141,21,9,,838
,,,,,,,,,,,
"RURAL (020)",10926,854,5898,1710,447,215,107,39,7,,1649
"Sin Nivel (021)",1127,130,534,139,52,35,17,12,2,,206
"Educación Inicial (022)",17,3,7,,,,,,,,7
"Primaria (023)",6083,537,3423,851,243,110,76,25,4,,814
"Secundaria (024)",3372,175,1857,621,103,49,6,1,1,,559
"Sup. no Univ. Incompleta (025)",129,6,38,36,13,4,1,,,,31
"Sup. no Univ. Completa (026)",97,2,20,37,18,5,2,1,,,12
"Sup. Univ. Incompleta (027)",31,1,4,7,4,3,3,,,,9
"Sup. Univ. Completa (028)",70,,15,19,14,9,2,,,,11
