"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia ACOBAMBA",,,,
"Viviendas particulares (001)",4218,3484,475,259
"Ocupantes presentes (002)",18559,15508,1897,1154
"Casa independiente",,,,
"Viviendas particulares (004)",3993,3343,396,254
"Ocupantes presentes (005)",17743,15008,1605,1130
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",169,107,62,
"Ocupantes presentes (011)",618,364,254,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",45,28,17,
"Ocupantes presentes (014)",149,111,38,
"Choza o cabaña",,,,
"Viviendas particulares (016)",5,,,5
"Ocupantes presentes (017)",24,,,24
"Vivienda improvisada",,,,
"Viviendas particulares (019)",3,3,,
"Ocupantes presentes (020)",15,15,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",3,3,,
"Ocupantes presentes (023)",10,10,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3561,3010,329,222
"Ocupantes presentes (029)",15743,13466,1262,1015
"Casa independiente",,,,
"Viviendas particulares (031)",3344,2874,253,217
"Ocupantes presentes (032)",14958,12985,982,991
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",164,103,61,
"Ocupantes presentes (038)",598,350,248,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",42,27,15,
"Ocupantes presentes (041)",138,106,32,
"Choza o cabaña",,,,
"Viviendas particulares (043)",5,,,5
"Ocupantes presentes (044)",24,,,24
"Vivienda improvisada",,,,
"Viviendas particulares (046)",3,3,,
"Ocupantes presentes (047)",15,15,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",3,3,,
"Ocupantes presentes (050)",10,10,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",657,474,146,37
"Ocupantes presentes (056)",2816,2042,635,139
"Casa independiente",,,,
"Viviendas particulares (058)",649,469,143,37
"Ocupantes presentes (059)",2785,2023,623,139
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",5,4,1,
"Ocupantes presentes (065)",20,14,6,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",3,1,2,
"Ocupantes presentes (068)",11,5,6,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2705,2391,279,35
"Ocupantes presentes (110)",11713,10511,1049,153
"Casa independiente",,,,
"Viviendas particulares (112)",2487,2252,200,35
"Ocupantes presentes (113)",10930,10020,757,153
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",169,107,62,
"Ocupantes presentes (119)",618,364,254,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",45,28,17,
"Ocupantes presentes (122)",149,111,38,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",3,3,,
"Ocupantes presentes (128)",15,15,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",1,1,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2455,2175,248,32
"Ocupantes presentes (137)",10648,9590,918,140
"Casa independiente",,,,
"Viviendas particulares (139)",2245,2041,172,32
"Ocupantes presentes (140)",9896,9118,638,140
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",164,103,61,
"Ocupantes presentes (146)",598,350,248,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",42,27,15,
"Ocupantes presentes (149)",138,106,32,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",3,3,,
"Ocupantes presentes (155)",15,15,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",250,216,31,3
"Ocupantes presentes (164)",1065,921,131,13
"Casa independiente",,,,
"Viviendas particulares (166)",242,211,28,3
"Ocupantes presentes (167)",1034,902,119,13
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",5,4,1,
"Ocupantes presentes (173)",20,14,6,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",3,1,2,
"Ocupantes presentes (176)",11,5,6,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1513,1093,196,224
"Ocupantes presentes (218)",6846,4997,848,1001
"Casa independiente",,,,
"Viviendas particulares (220)",1506,1091,196,219
"Ocupantes presentes (221)",6813,4988,848,977
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",5,,,5
"Ocupantes presentes (233)",24,,,24
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,2,,
"Ocupantes presentes (239)",9,9,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1106,835,81,190
"Ocupantes presentes (245)",5095,3876,344,875
"Casa independiente",,,,
"Viviendas particulares (247)",1099,833,81,185
"Ocupantes presentes (248)",5062,3867,344,851
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",5,,,5
"Ocupantes presentes (260)",24,,,24
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",2,2,,
"Ocupantes presentes (266)",9,9,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",407,258,115,34
"Ocupantes presentes (272)",1751,1121,504,126
"Casa independiente",,,,
"Viviendas particulares (274)",407,258,115,34
"Ocupantes presentes (275)",1751,1121,504,126
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
